source_db,id,doi,item_type,title,authors,year,abstract,keywords,citedby_count,journal_or_venue,affiliation_country,task
Web of Science,WOS:001752598300002,10.1007/978-3-032-12070-0_2,Proceedings Paper,Assessment of an Approach for the Uncertainty Evaluation of Poses Derived from Automatic Point Cloud Registration,"Brandstaetter, Max; Mikschi, Markus; Neuner, Hans",2026,,"author_keywords=['Automatic point cloud registration', 'Ground truth', 'Multi-sensor system', 'Laser scanning', 'Mobile mapping']",,"CONTRIBUTIONS TO INTERNATIONAL CONFERENCES ON ENGINEERING SURVEYING, INGEO",,wos_rob_be
Web of Science,WOS:001769079800001,10.1016/j.enbuild.2026.117560,Article,Integrating generative AI and BIM for sustainable construction and built Environment: An AHP-DEMATEL-based strategic framework,"Tam, Nguyen Van; Phong, Vu Van",2026,,"author_keywords=['GenAI', 'BIM', 'Sustainability', 'Construction', 'Built environment', 'Strategic framework', 'AHP-DEMATEL']",,ENERGY AND BUILDINGS,,wos_rob_be
Web of Science,WOS:001767228500021,10.1061/JCCEE5.CPENG-7179,Article,Automatic Indoor Building 3D Wireframe Modeling from Point Clouds Spatial Geometry Information for As-Built BIM,"Liang, Xiaoli; Jia, Haoxue; Wang, Jiayao; Qin, Zhiqiang; Chen, Lei; Liu, Ke; Liu, Yunxiang; Dai, Cancong",2026,,"author_keywords=['Indoor modeling', 'Three-dimensional (3D) wireframe model', 'Point clouds', 'Spatial geometry information', 'As-built building information modeling (BIM)']",,JOURNAL OF COMPUTING IN CIVIL ENGINEERING,,wos_rob_be
Web of Science,WOS:001766375700001,10.1016/j.enbuild.2026.117564,Article,A probabilistic assessment of hail hazard impact on the life cycle of BMPV systems,"di Filippo, Rocco; Maracchini, Gianluca; Di Maggio, Rosa; Bursi, Oreste S.; Albatici, Rossano",2026,,"author_keywords=['Hail risk', 'BMPV', 'EROI', 'Buildings', 'Lifecycle', 'PV']",,ENERGY AND BUILDINGS,,wos_rob_be
Web of Science,WOS:001764990400001,10.1016/j.buildenv.2026.114675,Article,Physical vs. virtual environments: A comparative psychophysiological study on the restorative effects of window views,"Li, Jiaxin; Xie, Xudong; Li, Xiangxi; Liu, Chao; Fukuda, Hiroatsu; Gao, Weijun",2026,,"author_keywords=['Window view', 'Virtual reality', 'HRV', 'EEG', 'Machine learning']",,BUILDING AND ENVIRONMENT,,wos_rob_be
Web of Science,WOS:001756222700001,10.1016/j.autcon.2026.106952,Article,Comparative evaluation of robotically assembled discrete lattice systems for sustainable construction,"Smith, Miana; Richard, Paul; Rubio, Alfonso Parra; Gershenfeld, Neil",2026,,"author_keywords=['Robotic assembly', 'Architected lattices', 'Sustainability', 'Construction automation', 'Distributed robotics', 'Modular building systems', 'Additive manufacturing']",,AUTOMATION IN CONSTRUCTION,,wos_rob_be
Web of Science,WOS:001745312900001,10.1016/j.engappai.2026.114779,Article,Automated image-based quality classification of basalt stone surfaces in manufacturing,"Pham, Trung-Tin; Tran, Thanh-Son; Cap, Thang; Vo, Bay; Le, Tuong",2026,,"author_keywords=['Neural networks', 'Automated quality inspection', 'Basalt stone surfaces', 'Industrial automation', 'Manufacturing quality control']",,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,,wos_rob_be
Web of Science,WOS:001745000000001,10.1016/j.jocm.2026.100607,Article,Heterogeneous impacts of system and vehicle security concern on autonomous vehicle adoption: A causal machine learning approach,"Sabzi, Behnam; Wang, Chuyue; Wang, Kailai; Li, Zhixia; Zhang, Yunpeng; Cheng, Long; Lim, Gino",2026,,"author_keywords=['System and vehicle security concern', 'Autonomous vehicles (AV) adoption', 'Heterogeneous treatment effects', 'Generalized random forests (GRF)', 'Causal machine learning (CausalML)']",,JOURNAL OF CHOICE MODELLING,,wos_rob_be
Web of Science,WOS:001743411300001,10.2166/wcc.2026.172,Article,"Net-zero water feasibility in a typical house in San Jose, Costa Rica: a one-water case study","Bohm, Martha; Carroll, Mountain; McGrady, Madeleine; Aguilar-Alvarez, Ronald Esteban; Torres Leiton, Anibal",2026,,"author_keywords=['alternative water harvesting', 'buildings', 'climate change', 'net-zero water', 'one-water', 'urban water management']",,JOURNAL OF WATER AND CLIMATE CHANGE,,wos_rob_be
Web of Science,WOS:001741251400003,10.15627/jd.2026.7,Article,Architectural Factors Affecting Illumination in Swedish Dairy Barns: Insights from Photometric Measurements and Simulations,"Ahmmad, Sheikh Rishad; Gentile, Niko; Rorvang, Maria Vilain; Jeppsson, Knut-Hakan; Dubois, Marie-Claude",2026,,"author_keywords=['photometric assessment', 'daylighting performance', 'electric lighting', 'animal building', 'agricultural building']",,JOURNAL OF DAYLIGHTING,,wos_rob_be
Web of Science,WOS:001741110600001,10.1016/j.rineng.2026.110406,Review,"Construction robotics: a systematic review of robot types, applications and human robot collaborations","Xu, Yifan; Cheung, Clara; Ng, Ming Shan; Kaltungo, Akilu Yunusa; Ishizawa, Tsukasa; Fujimoto, Kota",2026,,"author_keywords=['Construction robotics', 'Human robot collaboration', 'Occupational safety and health', 'Industry 5.0', 'Technology readiness']",,RESULTS IN ENGINEERING,,wos_rob_be
Web of Science,WOS:001736951200001,10.1007/s11116-026-10751-9,Article,Just another ride-hailing? examining the determinants of robotaxi demand in San Francisco,"Loa, Patrick; Lee, Yongsung; Circella, Giovanni",2026,,"author_keywords=['Robotaxi', 'Automated vehicle', 'Autonomous vehicle', 'Waymo', 'Shared automated vehicle']",,TRANSPORTATION,,wos_rob_be
Web of Science,WOS:001734938300001,10.1016/j.conbuildmat.2026.146062,Article,Development of high-performance stimuli-responsive epoxy coating for reinforced concrete: Chloride-triggered and self-regulating inhibitor release,"Jia, Xiaoyue; Yin, Xueling; Yin, Bing; Hou, Dongshuai; Wang, Zekun",2026,,"author_keywords=['Reinforced concrete', 'Intelligent coating', 'Anti-corrosion', 'Cl--responsive', 'Sustainable construction materials']",,CONSTRUCTION AND BUILDING MATERIALS,,wos_rob_be
