source_db,id,doi,item_type,title,authors,year,abstract,keywords,citedby_count,journal_or_venue,affiliation_country,task
IEEE Xplore,9911128,10.1109/ICAC55051.2022.9911128,Conferences,Robotic disassembly and remanufacturing automation,Yongjing Wang,2022,"Disassembly is a key step in remanufacturing and recycling, both of which are critical components in a circular economy. Disassembly is also a common operation in the repair and maintenance of machines and public infrastructure facilities (e.g. transport and energy). In many ways, disassembly is challenging to robotise due to variability in the condition of the returned products and the required dexterity in robotic manipulations. Unlike the tasks that have no physical contacts (e.g. computer visual inspection) or simple contacts (e.g. cutting, welding, pick-and-place), disassembly usually involves complex contact problems. Compared to the assembly of new products, which is deterministic because the components to be assembled are of known geometries, dimensions and states, disassembly is more stochastic as it has to contend with used products of uncertain shapes, sizes and conditions. This talk reviews progress that has been made at Birmingham in the area of robotic disassembly and emerging opportunities.",,0,2022 27th International Conference on Automation and Computing (ICAC),,iee_dec_rob
IEEE Xplore,9419740,10.1109/TASE.2021.3072663,Journals,Robotic Disassembly Sequence Planning With Backup Actions,Yuanjun Laili; Xiang Li; Yongjing Wang; Lei Ren; Xiaokang Wang,2022,"A key step in remanufacturing is disassembly of the “core” or the returned product to be remanufactured. Disassembly sequence planning is challenging due to uncertainties in the conditions of the cores. Rust, corrosion, deformation, and missing parts may require disassembly plans to be changed and adapted frequently. Conventional industrial automation that usually serves in repetitive and structured activities may fail when it is applied to disassembly. This research investigates the flexible sequencing of robotic disassembly in the presence of failed automation operations and develops online recovery by incorporating backup actions. It starts with modeling the time and success rate of a backup action. The expected disassembly time and completion rate of a disassembly plan are deduced according to the failure probability of both the operations and their backup actions. A biobjective optimization model for robotic disassembly sequence planning is established using a dual-selection multiobjective evolutionary algorithm. Two solution selection criteria are combined to produce potential offspring candidates in each evolutionary generation. Experimental results show that the backup actions allow efficient recovery from automation and can potentially improve the robustness of robotic disassembly. Note to Practitioners—This research was motivated by the development of automated disassembly techniques. Industrial automation techniques usually use predetermined operation motions. Robotic disassembly using such an approach may fail due to uncertainties in the condition of the products (e.g., positioning and geometry). This article introduces backup actions for disassembly sequence planning and describes the logic and reasoning of their implementation. Our proposed method can theoretically increase the completion rate of automated robotic disassembly. Experimental studies suggested that backup actions are efficient in providing a reliable disassembly sequence and, thus, can improve the robustness of robotic disassembly. In future research, we will implement typical backup actions and establish an automated disassembly process with a replanning module.",,24,IEEE Transactions on Automation Science and Engineering,"School of Automation Science and Electrical Engineering, Beihang University, Beijing, China",iee_dec_rob
IEEE Xplore,7081199,10.1109/ICARA.2015.7081199,Conferences,General plans for removing main components in cognitive robotic disassembly automation,Supachai Vongbunyong; Sami Kara; Maurice Pagnucco,2015,"A principle of cognitive robotics has been introduced to resolve the problems associated with the uncertainties and variations found in the automated disassembly process. The general plans are used to compensate the inaccurate information perceived by the sensors. They are used in the trial-and-error phase to remove particular types of main components according to cognitive behaviours. Statistical information is used to identify the operation plans and the parameters for (semi-)destructive disassembly. The effectiveness of these plans determines the success rate of the disassembly and the degree of autonomy. In this paper, PCBs and PCB cover in various model LCD screens were used as a case-study.",,9,"2015 6th International Conference on Automation, Robotics and Applications (ICARA)","School of Mechanical and Manufacturing Engineering, The University of New South Wales, Sydney, Australia",iee_dec_rob
IEEE Xplore,4384759,10.1109/INDIN.2007.4384759,Conferences,Generation and Application of Precedence Information for the Planning of Assembly and Disassembly Procedures,Iker Aguinaga; Diego Borro; Luis M. Matey,2007,"The correct planning of the assembly or disassembly of a product is of great importance for many aspects of a product such as its final cost, its impact on the environment or the number of hours that it can be used. We present a method for the automatic and fast generation of part precedence information for the planning of assembly and disassembly sequences of a complex product, based only on the geometric representation of a product. The information generated by this method can be applied to a variety of applications that covers a great part of the life cycle of a product.",,0,2007 5th IEEE International Conference on Industrial Informatics,"CEIT and TECNUN (University of Navarra), San Sebastian, Spain",iee_dec_rob
IEEE Xplore,9376672,10.1109/TASE.2021.3061506,Journals,Energy-Efficient Robotic Parallel Disassembly Sequence Planning for End-of-Life Products,Kaipu Wang; Liang Gao; Xinyu Li; Peigen Li,2022,"End-of-life (EOL) products contain many valuable parts and materials. The timely disassembly and recycling of EOL products can bring considerable economic benefits and reduce environmental pollution. To reduce the cost of manual disassembly, robotic disassembly has become one of the main methods used to dismantle EOL products. In addition, parallel disassembly can shorten the makespan of EOL products. Therefore, this article focuses on a new problem involving robotic parallel disassembly sequence planning for EOL products and establishes a corresponding multiobjective model to minimize the makespan and energy consumption. To obtain high-quality disassembly schemes, a discrete artificial bee colony algorithm based on problem characteristics is proposed. The performance of the proposed algorithm is verified by solving 32 benchmark problems and a comparison with three well-known multiobjective algorithms. The proposed model and method are applied to a real-world LCD TV disassembly case, and multiple preferred disassembly schemes are obtained. The results show that the proposed model and method can effectively shorten the makespan and reduce energy consumption. Note to Practitioners—Parallel disassembly is one of the most efficient disassembly methods, and robotic disassembly will be one of the main disassembly methods in the future. Therefore, this article focuses on the robotic parallel disassembly planning to achieve an efficient and environmentally friendly treatment of end-of-life products. With the importance of production efficiency and energy saving, it is essential to simultaneously assess the makespan and energy consumption. The results demonstrate that the proposed artificial bee colony algorithm can provide multiple disassembly schemes that balance the makespan and energy consumption. The obtained disassembly schemes can provide references for the disassembly planning of the disassembly enterprise and expand the decision-making space for decision-makers.",,36,IEEE Transactions on Automation Science and Engineering,"State Key Laboratory of Digital Manufacturing Equipment and Technology, School of Mechanical Science and Engineering, Huazhong University of Science and Technology, Wuhan, China",iee_dec_rob
IEEE Xplore,6490972,10.1109/ROBIO.2012.6490972,Conferences,New approach in control of assembly/disassembly line served by robotic manipulator mounted on mobile platform,E. Minca; A. Filipescu; A. Voda,2012,"The new idea of this paper is to make reversible an assembly line, i.e. to allow complete disassembly, by using a mobile platform equipped with robotic manipulator. The approach is a hybrid one in which the assembly/disassembly line is the discrete system whilst the wheeled mobile robot (WMR) together with the robotic manipulator (RM) is considered the continuous one. The mobile platform is used only in disassembling operations, in order to transport the components from the disassembling locations to the storage locations. Therefore, Synchronized Hybrid Petri Nets (SHPN) approach is used in modeling and control. This hybrid system takes into consideration the distribution of the necessary tasks to perform the hybrid disassembly of the components, using robot synchronization with flexible line process. The ultimate goal is to make completely reversible the assembly line. The SHPN model is transposed into LabView platform, thus getting a control structure of the mechatronic line and of WMR.",,15,2012 IEEE International Conference on Robotics and Biomimetics (ROBIO),"Department of Automation and Electrical Engineering, Dunarea de Jos University of Galati, Romania",iee_dec_rob
IEEE Xplore,407575,10.1109/IROS.1994.407575,Conferences,An experimental multisensorial robotic system for disassembly automation,P. Dario; C. Guadagnini; C. Laschi; M. Rucci,1994,"Disassembly and recycling are becoming increasingly important in our society, especially for their ecological implications. In this paper the authors present an approach to disassembly problems, which is essentially based on the concepts of multisensory integration and fusion and on the use of purposive actions to simplify perceptual tasks. The authors present a robotic system for the recognition and sorting of individual objects from a group, operations that are extremely important in most disassembly tasks. An example application of the system is described and experimental results are discussed. The effectiveness of the system in operating in a partially structured environment, shows how problems which are difficult to manage by using a single sensory modality can be solved by integrating multisensory data.<>",,1,Proceedings of IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS'94),"ARTS Laboratory, Pisa, Italy",iee_dec_rob
IEEE Xplore,11369636,10.1109/ICCMA67641.2025.11369636,Conferences,Dynamic Robotic Disassembly using Reinforcement Learning and Simulation: Initial Application to EV Batteries,Martin Økter; Ilya Tyapin; Martin Choux,2025,"The disassembly of electric vehicle (EV) battery packs remains a labor-intensive and potentially hazardous process, complicated by significant variations in pack design and condition. Conventional automation relies on rigid programming and prior knowledge of component layout, which limits scalability and adaptability. This work presents a proof-of-concept framework for adaptive robotic disassembly using reinforcement learning (RL) and high-fidelity simulation. A simplified two-stage disassembly task—removing a locking pin from a pipe-and-cylinder assembly, was implemented in NVIDIA Isaac Sim and integrated with the Isaac Lab RL environment. Proximal Policy Optimization (PPO) agents were trained using both the RSL-RL and StableBaselines3 libraries, employing structured reward shaping, targeted hyperparameter tuning, and Cartesian end-effector control to improve learning stability and task precision. Initial results demonstrate consistent task completion, with reduced unintended movement of non-target components and high repeatability across validation runs. The developed simulation and training pipeline provides a flexible, modular platform for future exploration of alternative RL algorithms and more complex disassembly scenarios. These results highlight the potential of RL-based methods to enable scalable, dynamic automation for EV battery recycling in environments with high variability and uncertainty.",,0,"2025 13th International Conference on Control, Mechatronics and Automation (ICCMA)","Department of Engineering, University of Agder, Grimstad, Norway",iee_dec_rob
IEEE Xplore,10610546,10.1109/ICRA57147.2024.10610546,Conferences,Generalized Partially Destructive Disassembly Planning for Robotic Disassembly,Malte Hansjosten; Jan Baumgärtner; Jürgen Fleischer,2024,"While robotic assembly is a well researched topic, recycling and disassembly of products are also becoming ever more important as we transition to a more sustainable economy. In disassembly, we are typically only interested in a subset of product parts, which opens the possibility of using destructive processes such as tearing, cutting, or milling to speed up the disassembly. Currently, such destructive actions are only included as predefined case-specific actions such as milling away a screw head. By contrast, this paper presents a generalized approach to destructive disassembly planning that can automatically derive destructive disassembly actions from a symbolic representation of the disassembly state. Viable destructive actions are identified and verified only based on the underlying geometric model, circumventing the need for their explicit definition. We showcase the performance of this system both virtually on several test parts and physically by destructively and non-destructively disassembling a model of an electric motor using a robot manipulator with a multitool end effector.",,2,2024 IEEE International Conference on Robotics and Automation (ICRA),"wbk Institute of Production Science, Karlsruhe Institute of Technology, Karlsruhe, Germany",iee_dec_rob
IEEE Xplore,6360769,10.1109/ICIEA.2012.6360769,Conferences,Hybrid system control of an assembly/disassembly mechatronic line using robotic manipulator mounted on mobile platform,Adrian Filipescu; Silviu Filipescu; Eugenia Minca,2012,"Two models of a mechatronic assembly line served by robotic manipulator mounted on mobile platform in order to perform disassembly are proposed in this paper. The first one is a discrete event model, where both the assembly/disassembly mechatronic line and wheeled mobile robot (WMR) equipped robotic manipulator are treated as discrete systems. The second one is a hybrid system in which the mechatronic line is the discrete event system (DES) and the WMR together with the manipulator is considered as a continuous system. To the first model, Temporized Petri Net (TPN) is used in order to model assembly/disassembly tasks of the mechatronic line served by robotic manipulator mounted on WMR. The mobile platform is used only in disassembling operations in order to transport the parts from the disassembling locations to the storage locations. To the second model, the cycle performed by the WMR equipped with robotic manipulator is considered as a continuous system. Therefore, Hybrid Petri Net (HPN) is used in modeling and control. This hybrid system takes into consideration the distribution of the necessary tasks to perform the hybrid disassembly of a component using robots synchronization with flexible line process. The ultimate goal is to make completely reversible the assembly line, that is to execute and disassembly.",,9,2012 7th IEEE Conference on Industrial Electronics and Applications (ICIEA),"Department of Automation and Electrical Engineering, Dunãrea de Jos Galati University, Galati, Romania",iee_dec_rob
