source_db,id,doi,item_type,title,authors,year,abstract,keywords,citedby_count,journal_or_venue,affiliation_country,task
IEEE Xplore,4803937,10.1109/ICARA.2000.4803937,Conferences,Robotic automation system for steel beam assembly in building construction,Baeksuk Chu; Kyungmo Jung; Youngsu Chu; Daehie Hong; Myo-Taeg Lim; Shinsuk Park; Yongkwun Lee; Sung-Uk Lee; Min Chul Kim; Kang Ho Ko,2009,"In building construction, steel beam assembly has been considered as one of the most dangerous manual operations. In this paper, applying robotic technologies to the steel beam assembly task is discussed. Employing the robotic systems to automate such construction tasks gives the following advantages: saving construction time and cost, enhancing operator's safety, and improving overall quality. The automated robotic assembly system presented in the paper consists of a robotic bolting device, a robotic mobile mechanism, and a bolting control system including human-machine interface. The robotic bolting device, which includes a bolting end-effector and a robotic manipulator, performs actual bolting operation. Utilizing the robotic mobile mechanism composed of a rail sliding boom mechanism and a scissors-jack type mobile manipulator, the robotic assembly system can be transported to a target position for bolting operation. The bolting control system plays a role of safely and efficiently operating the robotic assembly system employing a hole recognition system based on vision technology and a haptic based HMI (Human-Machine Interface) system. This paper includes the major components of the entire robot system that have been built and the future plans to integrate them.",,12,2009 4th International Conference on Autonomous Robots and Agents,"Division of Mechanical Engineering, Korea University, Seoul, South Korea",iee_rob_be
IEEE Xplore,4505571,10.1109/ICSMA.2008.4505571,Conferences,Development of Automation System for Steel Construction Based on Robotic Crane,Kyungmo Jung; Baeksuk Chu; Kihyeon Bae; Yongkwun Lee; Deahie Hong; Shinsuk Park; Myo-Taeg Lim,2008,"This paper deals with an automation system for steel construction based on a robotic crane. Employing an automation system for steel construction of high-rise buildings has following advantages: reducing risk factors in human operation, decreasing the construction cost, and shortening the construction period. The automated robotic crane system suggested in this paper consists of moving mechanism, robot manipulation system, and HMI (human machine interface). Moving mechanism is composed of boom, rail, and scissor-jack type manipulator. Using this mechanism, the robot manipulator can be located anywhere in CF (construction factory). The robot manipulation system is composed of a cabin and two robot arms. The cabin acts as a cockpit for the operator. The first robot arm has a bolting end-effector to assemble H-beams and the second robot arm has an alignment end-effector to align H-beams before assembling task. HMI system helps workers operate robot manipulators through a haptic device and a vision system. Also, it contains ITA (intelligent teaching agent) system that helps unskilled workers operate easily.",,10,2008 International Conference on Smart Manufacturing Application,"Department of Electrical Engineering, Korea University, Seoul, South Korea",iee_rob_be
IEEE Xplore,4505566,10.1109/ICSMA.2008.4505566,Conferences,An End-Effector Design for H-beam Alignment in High-Rise Building Construction,Kihyeon Bae; Baeksuk Chu; Kyungmo Jung; Yongkwun Lee; Deahie Hong; Shinsuk Park; Myo-Taeg Lim,2008,"There have been active progresses in the construction of high-rise buildings since the robot and information technologies were applied to the construction industry. Although many techniques have been proposed for safe and efficient H-beam lifting and assembly, most of construction tasks are manually operated causing dangerous working environments. The objective of this study is to develop a robotic end-effector for fine H-beam alignment in high-rise building construction. The H-beam has a number of drilled holes so that bolts can go through to assemble the elements. Before the bolts are inserted to combine two H-beams, the bolt holes should be aligned with very tight tolerance. Otherwise, there is a potential for serious damage during the bolting process. In this study, an end-effector design that helps the H-beam alignment for bolting operation is proposed. Moreover, finite element analysis and computer simulations are conducted to evaluate the mechanism.",,5,2008 International Conference on Smart Manufacturing Application,"Department of Mechanical Engineering, Korea University, Seoul, South Korea",iee_rob_be
IEEE Xplore,11369672,10.1109/ICCMA67641.2025.11369672,Conferences,Tendon Driven Assistive Hand for Mirror Based Robotic Therapy,Nabila Naz; Jasmine Hudson; Aidan Cahill; M S S Malik; Md Nazmul Huda; Soumya Kanti Manna,2025,"Soft robotic hands, particularly those utilizing tendon-driven mechanisms, offer significant advantages in precision and adaptability for handling delicate objects. These soft robotic hands are designed to mimic the dexterity and flexibility of the human hand by employing variable stiffness materials. Despite recent advancements in tendon-driven soft robotic hands, there remains a gap in the development of simplified variable stiffness mechanisms with integrated sensors for real-time adaptability. This paper presents the development of a modular, bio-inspired, tendon-driven soft robotic hand, fabricated using 3D printing. Flexible material NinjaFlex TPU85A is used for flexible joint mechanism whereas rigid PLA is used for fingers and rest of the hand for structural support. The combination of these materials allows the soft robotic hands to dynamically adjust their stiffness, striking a balance between flexibility and strength. Following the muscle contraction model, the hand is actuated by servo motors while optimized tendon paths reduce friction for smooth motion. Additionally, force and flex sensors provide real-time feedback, allowing precise control of finger movements and grip pressures. Experimental tests conducted using both glove hand simulation and robotic prototypes confirmed the system's ability to replicate glove finger movements accurately. The presented design holds potential for applications in prosthetics, industrial automation, and delicate object manipulation, where precise, flexible handling is essential.",,1,"2025 13th International Conference on Control, Mechatronics and Automation (ICCMA)","Sustainable Engineering and the Built Environment, Canterbury Christ Church University, Canterbury, UK",iee_rob_be
IEEE Xplore,4406664,10.1109/ICCAS.2007.4406664,Conferences,A study on the advantages on high-rise building construction which the application of construction robots take (ICCAS 2007),Hanjong Joo; ChiSu Son; Kyunghun Kim; Kyunghwan Kim; Jaejun Kim,2007,"This study is about the Construction Robot Technology as a alternative to slove the complicated and dangerous components of High-rise Building Construction. Robot Technology is more efficient and safe, so automation with construction robot technology must be practiced for productivity increase. Studying the method to solve complicated components, the positive effects taken on the high-rise buildings by the application of construction technology.",,4,"2007 International Conference on Control, Automation and Systems","Graduate, Department of Sustainable Architecture, Hanyang University, South Korea",iee_rob_be
IEEE Xplore,8986707,10.1109/ROMA46407.2018.8986707,Conferences,Visible Light Communication for Robotic Control,Chuah Eng Yew; Muzaiyanah Binti Hidayab; Chan Chen Leong,2018,"The requirement of high speed data transmission and large bandwidth in robotic technology comes with the breakthroughs in robotic applications. Acknowledging the need, Visible Light Communication that use the infrastructure of the indoor illumination system is envisioned as an indoor wireless mobile communication system alternative that will prove to be viable in this paper. Visible light communication is expected to be able to provide a data rate of up to 10GB/s and will be able to support the requirements of robotic technology. In this paper, visible light communication is used as means of transmitting control information forrobotic movements. An application of such will allow for indoor robotic control that does not depend on WiFi and thus providing higher data rate of transmission for smoother control and larger data transmission. The robot is controlled through the light-emitting diode lighting system. In this paper, it will be shown that visible light communication can be used to transmit simple data controls through LEDs for the robot. However, the requirement of line-of-sight will have to be further investigated by means of increasing the signal strength and stabilizing the received signal. By employing a microcontroller for data analysis and conversion of light for communication to adapt to the robotic control, the research will show that VLC is a viable method for indoor robotic control as well as to be applied to various other applications.",,2,2018 IEEE 4th International Symposium in Robotics and Manufacturing Automation (ROMA),"Faculty of Engineering, Technology & Built Environment, UCSI University, Kuala Lumpur, Malaysia",iee_rob_be
IEEE Xplore,4406518,10.1109/ICCAS.2007.4406518,Conferences,Robotic technologies for the automatic assemble of massive beams in high-rise building,Seung-Kyou Lee; Nakju Lett Doh; Gwi-Tae Park; Kyung-In Kang; Myo-Taek Lim; Dae-Hie Hong; Shin-Suk Park; Ung-Kyun Lee; Tae-Koo Kang,2007,"In this paper, we introduce a new technique for automatic construction of steel frames in high-rise buildings. Basically, we combine advanced robotic technologies to building construction techniques. Four main topics will be developed such as: 1) Planning and synthesis of automatic construction system(ACS), 2) Development of construction factory(CF) system with climbing oil-pressured robot, 3) Core techniques for automatic assembly for steel frames, and 4) Intelligent resource management system. We expect that this new technique will increase the construction efficiency and will alleviate the manpower shortage problem in the aging society. For the development of the proposed system, two main ideas will be suggested. The first idea is to utilize a transportation system for the robot. One of the main problems of the automatic construction is that the size of the construction factory is very huge while that of the robot is not. To alleviate the problem, we suggest a transportation system which combines a rail with a boom. The second idea is to use a wire suspended positioning system. In the construction, it is a main issue to bring the guiders and beams in a pre-planned position with an accuracy of 2mm. Nowadays, it is operated by two skilled workers. Through our research, We want to implement it automatically by utilizing the wire suspended positioning system which is controlled by the cable of a tower crane and multiple wires.",,2,"2007 International Conference on Control, Automation and Systems","School of Engineering, Korea University, Seoul, South Korea",iee_rob_be
IEEE Xplore,8986734,10.1109/ROMA46407.2018.8986734,Conferences,Electroencephalography Robotic Arm Control,Chuah Eng Yew; Desmond Tan Mun Yung,2018,"The number of paralysis is increasing by time due to the amount of accident happening in the world. This paper discusses the application of Electroencephalography to control a robotic arm. This method of controlling a robot will allow the physically challenged individuals to work their daily task by themselves. In this paper, a robotic control device is designed to work with an EEG Control Interface which applied to a Robotic Arm. A brainwave controller is used to receive the signal from the user brain and processes in a microcontroller to produce required output for the arm movement. The number of controls will depend on the processing speed of the microcontroller and the extensive training are required to adopt the EEG Control Interface system. The output of the movement is chosen depends on the user.",,0,2018 IEEE 4th International Symposium in Robotics and Manufacturing Automation (ROMA),"Faculty of Engineering, Technology & Built Environment, UCSI University, Kuala Lumpur, Malaysia",iee_rob_be
IEEE Xplore,10986570,10.1109/ROBOTHIA63806.2025.10986570,Conferences,A Hybrid Deep Learning Model for Dance Recognition with Applications in Robotic Vision and AI Automation,Lee Wei San; Samuel-Soma M. Ajibade; Muhammed Basheer Jasser; Anthonia Oluwatosin Adediran; Adefemi Ayodele,2025,"Image recognition has gained significant attention due to advancements in artificial intelligence (AI) and machine learning. Traditional dance instruction often relies on subjective feedback, leading to inconsistencies in assessment. This paper presents a hybrid deep learning model integrating Convolutional Neural Networks (CNNs) and Long Short-Term Memory (LSTM) networks for dance movement recognition. CNNs extract spatial features, while LSTMs capture temporal dependencies, enabling accurate recognition of dance sequences. The dataset used combines ballet, locking, and popping dance genres, with preprocessing techniques such as augmentation and normalization. The hybrid model achieves 99.52% accuracy, surpassing standalone CNN and LSTM models. Evaluation metrics, including Matthews Correlation Coefficient (MCC) and AUC-ROC, validate the model's ability to distinguish complex movement patterns with high reliability. Beyond dance recognition, precise motion classification plays a crucial role in robotic vision and AI-driven automation, where accurate pose estimation and movement tracking enable applications in humanoid robot motion imitation, gesture-based human-robot interaction, and precision automation in industrial workflows. Future work will focus on real-time deployment, dataset expansion, and integration with augmented reality to enhance both dance training and humanoid robot motion learning.",,1,2025 IEEE International Conference on Robotics and Technologies for Industrial Automation (ROBOTHIA),"Department of Data Science and Artificial Intelligence, Faculty of Engineering and Technology, Sunway University, Selangor, Malaysia",iee_rob_be
IEEE Xplore,10409208,10.26599/JICV.2023.9210015,Journals,Private or On-Demand Autonomous Vehicles? Modeling Public Interest Using a Multivariate Model,Sailesh Acharya,2023,"With the likely future of autonomous vehicles (AVs) as private, ride-hailing, and pooled vehicles, it is important to consider all forms of AVs when estimating the impacts of automation on travel behavior. To aid this, this study jointly models the public interest in three forms of AVs (owning, ride-hailing, and using pooled services) and compares the interests in owning versus ride-hailing AVs using a combination of structural equation modeling and multivariate ordered probit modeling frameworks. Using the 2019 California Vehicle Survey data, we estimate the impacts of several exogenous and latent variables on all forms of AV adoption. We find that the individual, household, travel-related, and built-environment factors are related to different forms of AV adoption directly and indirectly through attitudes toward human and automated driving. We also report that human and automated driving sentiments have the highest impact on interest in owning an AV compared to interest in ride-hailing and using pooled AVs. We discuss several policy implications by calculating the pseudo-elasticity effects of exogenous variables and the sensitivities of the impacts on latent variables on different forms of AV adoption. For example, public interest in owning private AVs can be increased by more than 7% by making them familiar with autonomous technology.",,9,Journal of Intelligent and Connected Vehicles,"National Renewable Energy Laboratory, Center for Integrated Mobility Sciences, Golden, CO, USA",iee_rob_be
