source_db,id,doi,item_type,title,authors,year,abstract,keywords,citedby_count,journal_or_venue,affiliation_country,task
Scopus,2-s2.0-105035058508,10.1016/j.rineng.2026.110406,Review,"Construction robotics: a systematic review of robot types, applications and human robot collaborations","Xu, Yifan;Cheung, Clara;Shan Ng, Ming;Kaltungo, Akilu Yunusa;Ishizawa, Tsukasa;Fujimoto, Kota",2026,"© 2026 The Authors.Robotics in construction is increasingly recognised not only for enhancing productivity and efficiency, but also for its potential to reduce occupational safety and health risks by distancing workers from hazardous tasks. Despite these clear advantages, the industry still lags manufacturing in the widespread deployment of robotic systems. To understand how robots can be effectively deployed in real world construction settings, this review identifies three critical dimensions that shape integration: (i) robot types, (ii) task applications, and (iii) human robot collaboration (HRC) roles. Four research questions are formulated to guide the analysis, focusing on current technology use, suitability across task domains, collaboration patterns, and future deployment challenges. A total of 375 papers published between 2023 and 2025 were systematically analysised using the PRISMA method. Based on this corpus, we develop an integrated two-dimensional taxonomy that links robot classifications by function with construction task applications across lifecycle phases. The review reveals that most robots are concentrated in structural construction tasks, while planning, maintenance, and demolition phases remain underexplored. It also revealed that operator-led workflows dominate current practice, reflecting limited autonomy and readiness for full automation. These findings provide both researchers and practitioners with a structured foundation for modelling human robot workflows, designing OSH sensitive deployment strategies, and supporting more effective simulation environments. At a theoretical level, the study contributes to a deeper understanding of HRC in construction’s highly variable, unstructured settings, offering insights essential to achieving more scalable, integrated, and human-centric robotics in the built environment.",Construction robotics; Human robot collaboration; Industry 5.0; Occupational safety and health; Technology readiness,0,Results in Engineering,Japan;Japan;Japan;United Kingdom,sco_dec_rob_be
Scopus,2-s2.0-105034478267,10.1016/j.buildenv.2026.114361,Article,Ten questions concerning digital transformation for a circular built environment,"De Wolf, Catherine;Bendiek-Laranjo, Ana;Blum, Clara;Costalonga, Vanessa;Durand-Maniclas, Oceane;Karsan, Zain;Menny, Thibaut;Önalan, Beril;Schwarzkopf, Vanessa;Silvennoinen, Heidi;Vangelova, Silvia;Windapo, Bayonle",2026,"© 2026 The AuthorsThis paper addresses the challenge of enabling circularity in the built environment by improving how building materials are documented, recovered, and reused. We examine how emerging digital technologies can support this goal by focusing on ten specific research questions related to auditing, selective deconstruction, material tracking, matchmaking of reclaimed elements, and reassembly. Framed through the processes of collecting (auditing and salvaging), connecting (material tracking), and creating (matchmaking and reassembly), we review current methods that include computer vision, reality capture, robotics, digital passport systems, physical-digital interfaces, community databases, digital platforms, AI-based design, language models, computation, and extended reality. Our analysis shows that these technologies can automate the creation of digital inventories, increase material traceability, improve the evaluation and matching of reclaimed components, and enhance the precision of deconstruction and reassembly processes. These findings are relevant for researchers, practitioners, and policymakers seeking scalable strategies to integrate reused materials into construction workflows. The work identifies opportunities for future research on integrating these technologies into coherent digital ecosystems that can accelerate the transition toward a circular built environment.",AI-assisted design; Building information workflows; Circular construction; Computer vision; Digital material banks; Robotics for deconstruction,0,Building and Environment,Switzerland;Switzerland,sco_dec_rob_be
Scopus,2-s2.0-105038221721,10.14062/j.issn.0454-5648.20250765,Review,"Artificial Intelligence for Sustainable Concrete: Methods, Challenges and Opportunities","Jiang, Zhan;Teng, Le;Tong, Xinyang;Cheng, Boyuan;Yuan, Qiang;Long, Wujian;Meng, Weina;Bao, Yi",2026,"© 2026 Chinese Ceramic Society. All rights reserved.Concrete is the most widely used construction material with an annual consumption of about 30 billion tons. However, the production of concrete creates significant environmental problems. Cement is a key binder in concrete, and its production requires burning limestone in high-temperature kilns, which causes approximately 8% of global carbon dioxide emissions. As urbanization and infrastructure construction continue to grow rapidly, the demand for cement and concrete is expected to be increased by 12%–23% by 2050. If we do not develop sustainable alternatives, this will affect a climate change. To address this issue, the industry is increasingly using supplementary cementitious materials, such as fly ash, slag, and calcined clay. In addition, using solid waste like mine tailings and demolition waste also becomes an important strategy. These methods can reduce the use of cement clinkers and keep waste out of landfills, providing both environmental and economic benefits. However, incorporating these diverse materials makes the design process much harder. Conventional design methods rely on experience and trial-and-error experiments. This process is time-consuming, consumes many resources, and cannot fully reflect the complex interactions between different materials. For instance, mixing multiple types of waste materials creates a high-dimensional design space that is hard to manage with simple, linear experiments. Artificial Intelligence (AI) technology offers an effective way to solve these challenges. Machine learning models can accurately predict key properties of concrete, such as fresh properties, mechanical strength, and durability, based on the historical experimental data. This review systematically summarizes AI techniques for sustainable concrete. The research moves from simple data mapping to more intelligent systems. Initially, some classic models like artificial neural networks and support vector machines are used. These models act as a map between the ingredients (inputs) and the performance (outputs). They can be used for capturing non-linear relationships that conventional equations cannot obtain. For instance, models like XGBoost and Random Forest can predict compressive strength and chloride resistance with a high accuracy, even when using relatively small datasets. These models are often used in a design loop, i.e., predicting performance and using optimization algorithms to adjust the mixture, balancing high strength with lower cost and reduced carbon emissions. However, conventional AI models have a major problem, i.e., they are often ""black boxes"". This means engineers cannot see how the model makes decisions, leading to a lack of trust in safety-critical projects. Also, these models depend heavily on data quality, and the existing datasets in concrete science are often small, inconsistent, or lack standard formatting. To fix this issue, the focus is shifting to advanced AI models. This review highlights three key improvements. First, data augmentation techniques, such as generative adversarial networks, are used to create synthetic data. This can solve the problem of small datasets via learning the patterns of real data and generating new, realistic samples. Second, explainable AI is used to open the ""black box"". Methods like SHAP analysis can show exactly how much each ingredient contributes to the final strength, making the results easier to understand and verify. Third, knowledge-guided learning combines data with physical laws. AI models can follow scientific principles via adding physical constraints (like diffusion laws) or using Knowledge Graphs, making them more reliable and scientifically correct compared to pure data-driven models. Summary and Prospects This review concludes that AI makes a great progress in predicting performance and optimizing mixtures, while there are still some challenges before it is widely used in real engineering. The main challenges include the lack of high-quality open datasets, the poor ability of models to work on new materials (generalization), and the need for better trust and interpretability. Future research needs to move from static predictions to autonomous systems. In the future, an AI-driven autonomous system can be used for sustainable concrete. This involves building a cyber-physical system. In this system, sensors collect real-time data during concrete production. AI models can analyze the data and automatically adjust the mixture proportions to ensure consistent quality. This allows for adaptive manufacturing, reducing waste and ensuring that the concrete meets the design requirements. Furthermore, Digital Twin technology can extend this to the entire life of the structure. A digital twin is a virtual copy of the physical infrastructure. It can update itself using sensor data to monitor the health of the structure and calculate its carbon footprint in real time. This can favor to make better decisions about maintenance and repair, extending the service life of the infrastructure. Finally, we need to focus on five priorities, i.e., creating open benchmark datasets for fair comparison; developing physics-informed AI that combines data with expert knowledge; advancing multi-objective optimization to balance performance, cost, and carbon; building cyber-physical systems and digital twins; and establishing standards and training programs. AI should not replace human experts. Instead, it should act as an intelligent assistant, helping engineers to design greener and more durable concrete. This human-AI collaboration is a key to achieving a carbon-neutral built environment in the future.",concrete; cyber-physical system; digital twin; explainable artificial intelligence; multi-objective optimization; trustworthy machine learning; waste valorization,0,Kuei Suan Jen Hsueh Pao Journal of the Chinese Ceramic Society,China;China;China;United States,sco_dec_rob_be
Scopus,2-s2.0-105017964107,10.1016/j.autcon.2025.106548,Article,Automated robotic deconstruction sequence planning from scan-to-BIM data for reinforced concrete structure reuse,"Ostapska, Katarzyna;Hingorani, Ramon;Tecław, Wojciech;Kaufmann, Fabian;Gradeci, Klodian;Rüther, Petra",2025,"© 2025 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY license. http://creativecommons.org/licenses/by/4.0/The built environment faces challenges of limiting resource consumption and emissions while addressing growing development demand and low labour productivity problems. It requires disruptive approaches to facilitate a transition to the circular economy and the introduction of several technological enablers to overcome challenges, such as smart data acquisition, data fusion, and design for robotic construction and deconstruction. This paper introduces a digital tool for robotic deconstruction planning of monolithic reinforced concrete structures based on automated extraction of data from scan-to-BIM at a low level of detail. A script operating on scan-to-BIM defines element connectivity and geometrical and physical properties for a network graph model used as the basis for the metaheuristic ant colony optimisation implemented to support the scheduling of human, crane, forklift and robot collaboration tasks. The methodology is explained and tested in three case studies with different levels of complexity, i.e. two synthetic flat slab structures and one real scan-to-BIM input. Cutting speed, effective crane utilisation and high human labour cost are the main parameters influencing the optimal deconstruction plan.",Circular construction; Concrete reuse; Robotic deconstruction; Scan-to-BIM,0,Automation in Construction,Germany;Norway,sco_dec_rob_be
Scopus,2-s2.0-105015948045,10.1016/j.wasman.2025.115123,Article,Enhancing sorting efficiency in cluttered construction and demolition waste streams via boundary-guided grasp detection,"Prasad, Vineet;Arashpour, Mehrdad",2025,"© 2025 The Author(s)Robotic automation is instrumental in the valorization of construction and demolition waste (CDW), facilitating scalable and efficient material recovery in response to rising waste volumes from accelerated urban development. AI-driven computer vision (CV) has advanced perception-focused tasks in CDW processing, such as classification, object detection, and segmentation. However, the subsequent action-focused task of robotic CDW grasp detection remains underexplored. Identifying optimal, collision-free gripper poses for CDW recyclables is particularly challenging in cluttered environments and is further limited by the need for large amounts of grasp-annotated training data. This paper therefore presents a robust CDW grasp detection method that leverages boundary features of CDW objects to guide grasp predictions via attentional feature fusion. Our approach builds upon recent advances in shape-aware CDW instance segmentation and takes advantage of the growing availability of high-quality segmentation data, enabled by automated labelling techniques using large language models (LLMs). To address the shortage of publicly available grasp-annotated CDW data, we also introduce ReCoDeWaste; the first RGB-D CDW instance segmentation and grasp detection dataset tailored for off-site AI-based sorting training and evaluation. Designed to capture the compositional complexity of CDW, ReCoDeWaste contains over 100,000 annotated waste object instances across diverse cluttered scenes. Experimental results demonstrate that our boundary-guided grasp detection model predicts collision-free grasps for detected recyclables in these cluttered streams, outperforming state-of-the-art methods in standard evaluation metrics and achieving up to 94.36% grasp detection accuracy. This research serves to enhance CDW valorization by transitioning efforts to action-focused CV tasks that go beyond recognition and classification.",AI-Driven Sorting; Construction and Demolition Waste; Grasp Detection; Instance Segmentation; Sorting Automation,0,Waste Management,Australia,sco_dec_rob_be
Scopus,2-s2.0-105005004799,10.1016/j.autcon.2025.106275,Article,Hybrid data generation and deep learning for GPR-based reconstruction of robotic-built underground structures,"Wu, Haibing;Sheil, Brian",2025,"© 2024There is substantial potential for future underground construction operations to be performed by autonomous robots. This paper proposes a 360-degree digital reconstruction framework for robotic-built underground structures using in-pipe rotating ground penetrating radar (GPR). Unlike conventional ground-level applications, placing GPR inside pipes significantly reduces signal attenuation by shortening the distance to the target, enhancing imaging accuracy. To overcome limited data, this paper proposes a high-fidelity in-pipe GPR generator that combines calibrated synthetic data with real-world pipe reflections, clutter, and random noises. Besides, a ‘stochastic-ellipse-union’ method models robot-constructed structures mathematically, ensuring dataset diversity. Moreover, a optimized 2D digital antenna model, calibrated to 97 % accuracy using a genetic algorithm, reduces radargram generation time by 99.2 % compared to traditional 3D methods. Benchmark tests among seven DL models identified ResNet101-enhanced U-Net as optimal, achieving an intersection-over-union score of 0.937, proving the effectiveness of the framework in reconstructing robotic-built underground structures.",Deep learning; Digital reconstruction; Ground penetrating radar; Robotic injection,0,Automation in Construction,United Kingdom,sco_dec_rob_be
Scopus,2-s2.0-105008273187,10.1016/j.scs.2025.106522,Article,Autonomous building material stock estimation using 3D modeling and multilayer perceptron,"Li, Qingxiang;Zhao, Benyun;Wang, Xinyi;Yang, Guidong;Chang, Yuyang;Chen, Xi;Chen, Ben M.",2025,"© 2025 Elsevier LtdBuilding material stock (BMS) modeling is crucial to promote circular economy in urban environment. This study presents a fully autonomous bottom-up approach for BMS estimation using 3D modeling and Multilayer Perceptron (MLP). Firstly, an archetype-based MLP model for concrete and steel stock estimation is developed and trained using the feature information collected from BIM (Building Information Modeling) models of local buildings, reaching 91.0 % estimation accuracy for concrete and 87.6 % for steel. A novel 3D modeling workflow is then developed using an innovative point cloud reconstruction method, in order to create editable 3D building models. These models facilitate the extraction of key building features, which are then inputted into pre-trained MLP models to estimate the BMS. The full pipeline was validated through three experiments at a neighborhood, with concrete and steel stock estimation errors of 13.7 % and 10.9 %. Such bottom-up method allows for a more precise assessment of building material composition, intensity, and geographic distribution, offering crucial insights for resource management. In summary, the proposed method enables automated, scalable quantification of building material stocks directly from UAV-acquired data, supporting material reuse planning, demolition decision-making, and circular economy initiatives in urban areas.",3D reconstruction; Circular economy; Machine learning; UAV; Urban mining,8,Sustainable Cities and Society,Switzerland;Hong Kong,sco_dec_rob_be
Scopus,2-s2.0-85209351660,10.1177/0734242X241290743,Article,Developing WasteSAM: A novel approach for accurate construction waste image segmentation to facilitate efficient recycling,"Heo, Seokjae;Na, Seunguk",2025,"© The Author(s) 2024The escalating volume of construction activities and resultant waste generation underscores the imperative for developing sophisticated segmentation models to facilitate efficient sorting and recycling processes. This study introduces WasteSAM, an enhanced iteration of the segment anything model (SAM), specifically tailored to address the intricate complexities inherent in construction waste imagery. Drawing upon a comprehensive dataset comprising over 15,000 masks representing five distinct categories of construction materials, WasteSAM exhibits notably superior segmentation capabilities. Quantitative analysis demonstrates significant performance improvements, with WasteSAM outperforming the original SAM model by an average of 23.9% in dice similarity coefficient and 30.0% in normalized surface distance metrics. The integration of stereo-image techniques in refining the training dataset has facilitated WasteSAM in more accurately discerning the three-dimensional structure of waste materials, thereby augmenting the precision of waste classification. Noteworthy is the model’s adeptness in handling intricate textures and patterns across diverse imaging modalities, including varying lighting conditions and complex object interactions. While showing promising results, this study also highlights the need for high-quality, diverse datasets that reflect real-world construction site complexities, rather than merely larger datasets.",artificial intelligence; recycling automation; robotic construction; segmentation metrics; Waste segmentation; WasteSAM,2,Waste Management and Research,South Korea,sco_dec_rob_be
Scopus,2-s2.0-85212963132,10.1016/j.autcon.2024.105947,Article,Digital tool integrations for architectural reuse of salvaged building materials,"Zboinska, Malgorzata A.;Göbel, Frederik",2025,"© 2024Building material reuse can reduce the environmental impact of construction yet its advanced digital support is still limited. Which digital tools could effectively support repair of highly irregular, salvaged materials? To probe this question, a framework featuring six advanced digital tools is proposed and verified through six design and prototyping experiments. The experiments demonstrate that a digital toolkit integrating photogrammetry, robot vision, machine learning, computer vision, computational design, and robotic 3D printing effectively supports repair and recovery of irregular reclaimed materials, enabling their robust digitization, damage detection, and feature-informed computational redesign and refabrication. These findings contribute to the advancement of digitally aided reuse practices in the construction sector, providing valuable insights into accommodating highly heterogeneous reclaimed materials by leveraging advanced automation and digitization. They provide the crucial and currently missing technological and methodological foundation needed to inform future research on industrial digital solutions for reuse.",3D printing; Architectural reuse; Computer vision; Data-driven toolpath design; Digital twins; Machine learning; Photogrammetry; Robot vision; Robotic fabrication; Salvaged construction materials,6,Automation in Construction,Sweden,sco_dec_rob_be
Scopus,2-s2.0-105032583316,,Article,Innovative practices of green smart concepts in phase I renovation project of Luojing container terminal,"Gu, Jinshan;Wang, Feng;Zheng, Ke;Liu, Chengxin",2025,"© 2025 Port and Waterway Engineering - Editorial Department. All rights reserved.Phase I container terminal renovation project in Luojing port area of Shanghai Port is a systematic renovation project for old terminal in China. It has made proactive explorations in the green and smart ecological upgrades of the port, conducting a series of innovative practices. Through the ""stock renovation + technological innovation"" model, it has reduced carbon emissions from traditional bulk cargo terminals by 85% and improved operational efficiency by 30%. In terms of green exploration, detailed plans for demolition, renovation, and construction are formulated,achieving a resource utilization rate of 70% for old structures. The 30% of demolished building materials are all reused. Green and energy-saving technologies such as full berth shore power supply, construction of AIV (intelligent guided vehicle) intelligent charging and swapping stations, and photovoltaic power generation within the port area are implemented. The total clean energy consumption has reached 97% of the comprehensive energy consumption, achieving green and energy-saving operation of the terminal. In the construction of smart ports, a new generation of intelligent control system Neo-TOS is developed using full stack autonomous and controllable network technology, control technology, operating system, computing chip, storage and database system, etc., to achieve intelligent operation of production planning, task scheduling, and interactive control. Through the newly developed horizontal transportation management and scheduling system (HTMS), the project innovatively achieves full automation mixed operation of different levels of automated horizontal transportation equipment within the same port area.",green operation; green smart port; resource recycling; self-reliance; wharf renovation,0,Port and Waterway Engineering,China;China,sco_dec_rob_be
