source_db,id,doi,item_type,title,authors,year,abstract,keywords,citedby_count,journal_or_venue,affiliation_country,task
Scopus,2-s2.0-105033863213,10.1038/s41598-026-37211-9,Article,Safe formation scaling and motion planning for heterogeneous UAV–UGV teams in cluttered environments,"Chen, Qian;Liu, Xiufeng;Nie, Wendi;Liu, Haibing;Pang, Wen",2026,"© The Author(s) 2026.Heterogeneous UAV–UGV formations offer significant potential for autonomous missions; however, achieving stable three-dimensional (3-D) formation control with collision-free navigation in dense obstacle environments remains challenging due to heterogeneous dynamics, unknown external disturbances, and strict real-time computational constraints. This paper proposes a distributed rigid graph-based adaptive safe artificial potential field (RG–ASAPF) framework that tightly integrates formation control and motion planning for heterogeneous multi-UAV–UGV systems. The proposed framework addresses three key challenges: (i) maintaining continuous formation integrity during obstacle avoidance, thereby avoiding the conventional disassembly-recovery process; (ii) enabling vertical coordination between UAV and UGV layers with prescribed inter-layer spacing; and (iii) supporting dynamic formation reconfiguration through time-varying scaling to safely navigate narrow passages. A backstepping-based adaptive formation controller is developed using rigid graph theory to enforce distance consensus under Euler-Lagrange dynamics, explicitly accounting for underactuated UAVs and nonholonomic UGVs. An adaptive safe artificial potential field with Widrow–Hoff-based online repulsion tuning generates smooth, collision-free trajectories while respecting formation footprint constraints. Rigorous Lyapunov analysis establishes exponential convergence of formation errors and global uniform ultimate boundedness (GUUB) of tracking errors in the presence of bounded disturbances. Furthermore, a safety-certified fallback mechanism with corridor-aware rerouting enhances robustness when clearance constraints are violated. Extensive simulations involving sparse and dense obstacle environments, formation scaling maneuvers, dynamic obstacles, and formation maneuvers featuring more agents demonstrate that the proposed framework outperforms model predictive control, particle swarm optimization, and conventional artificial potential field methods in terms of computational efficiency, trajectory smoothness, formation stability, and energy consumption. These results highlight the effectiveness of the proposed approach for heterogeneous multi-domain robotic applications such as disaster response, surveillance, and cooperative logistics.",Adaptive safe artificial potential field; Graph theory; Heterogeneous UAV–UGV cooperation; Motion planning; Time-varying formation control,0,Scientific Reports,Denmark;China;China;China,sco_dec_rob
Scopus,2-s2.0-105033837870,10.1007/s44216-026-00074-y,Article,Deconstruct discursive power of the BRICS: a comparative legal discourse analysis on the obligations of states in respect of climate change,"Wang, Xisheng",2026,"© The Author(s) 2026.This article explores the ongoing influence of colonialist legacies in contemporary climate governance, highlighting that although the colonial system has ended, its legal and knowledge discourse still profoundly shape global climate politics. Climate litigation is not only a legal tool but also a means of discourse construction. The Western legal framework strengthens its authority in global climate governance through its dominant position in knowledge production, thereby marginalizing the countries of the Global South. To break this hegemony of Western knowledge's universalization and objectification, the Global South must establish an autonomous knowledge system. The article argues that the BRICS countries, as a typical practice of South-South cooperation, play an important role in challenging Western narratives and providing alternative governance models. The article takes the request for the ""Consultation Opinion on the Obligations of States in Climate Change"" adopted by the United Nations General Assembly in 2023 and submitted to the International Court of Justice as the research background, emphasizing that this historic case provides a unique opportunity to observe the discourse construction and knowledge system of the BRICS countries. This article intends to answer two questions: (1) What is the core discourse of the BRICS countries in climate governance? (2) How are these discourses constructed? Through analysis, this article emphasizes the core position of the knowledge system in legal and political discourses and points out that only by promoting a turn in epistemology can the power structure in global climate governance be changed.",BRICS; Climate governance; Discourse; Global South; Knowledge system; Subject construction,0,Asian Review of Political Economy,China,sco_dec_rob
Scopus,2-s2.0-105038444609,10.1016/j.jmsy.2026.04.028,Article,Coordination of LLM-Embodied Agents for manufacturing task allocation under constraints,"Ye, Wei;Li, Xingyu",2026,"© 2026This paper introduces LLM-Embodied Agents (LEAs) for manufacturing task allocation by embedding large language model (LLM) driven cognitive capabilities directly into physical production resources. Despite existing efforts in LLM-based multi-agent coordination, current frameworks do not systematically address the heterogeneous constraints prevalent in manufacturing, particularly task-level spatial constraints. Furthermore, existing frameworks treat automated guided vehicles (AGVs) as passive executors rather than autonomous decision-making agents, leaving their coordination potential unexplored. To address heterogeneous manufacturing constraints, we develop coordination strategies among the LEAs that enable systematic reasoning over capability matching, process precedence relationships, and spatial accessibility requirements. We implement Robot LEAs (RLEAs) and Vehicle LEAs (VLEAs), where robots denote industrial robots and vehicles denote AGVs. We systematically compare two decentralized coordination strategies: Robot-Lead Coordination (RLC), where RLEAs select tasks to process, and Vehicle-Lead Coordination (VLC), where VLEAs recruit machines for task execution. We evaluate the strategies across three manufacturing scenarios with different constraints, including sorting (capability constraints), machining (precedence constraints), and disassembly (spatial and precedence constraints). In disassembly tasks, VLC attains 100% constraint satisfaction versus 63% for RLC using GPT-4o, while reducing total token consumption by 41% and API calls by 68%. Cross-model evaluation with Gemini 2.5 Pro, Claude 3.7 Sonnet, and DeepSeek-R1 confirms VLC's robustness across different LLM backbones, while ablation studies demonstrate that failure memory significantly improves RLC performance but provides marginal gains for VLC. Scalability analysis shows VLC scales at a substantially lower rate than RLC as problem size increases.",Embodied AI; Large language models (LLMs); Manufacturing constraint; Multi-agent coordination; Task allocation,0,Journal of Manufacturing Systems,United States,sco_dec_rob
Scopus,2-s2.0-105034568725,10.1016/j.rcim.2026.103270,Article,Robotic system for automated disassembly of electronic waste: Vision-based peg-in-hole for recessed screws,"Ricardo, Frank A.;Granados, Unai;Igah, Charles;Iparraguirre, Olatz;Borro, Diego",2026,"© 2026 The Authors. Published by Elsevier Ltd. This is an open access article under the CC BY license. http://creativecommons.org/licenses/by/4.0/AbstractThe increasing generation of electronic waste (e-waste) requires new procedures to recover critical materials such as Rare Earth Elements (REEs). As an alternative to manual dismantling, robust automated systems could offer efficient solutions. This paper presents a robotic perception system for disassembling end-of-life hoverboards, an REE-rich waste stream. The main goal of this work is to enable robust 3D pose estimation of recessed, often-degraded cover screws in dismantling operations, where high geometric variability and positional uncertainty pose significant challenges.Authors identify three primary perception failures that hinder reliable screw localization: Detection Failure (DF), Occlusion Errors (OR), and Pose Inaccuracy (PI). To address these challenges, we propose a multi-stage active vision strategy. First, a fine-tuned YOLOv8-X model improves initial screw detection, mitigating DF. Second, we introduce SmartScan, a novel methodology that dynamically adapts scan paths to component geometry using a YOLO detector and the Segment Anything Model (SAM), eliminating OR. Third, a Next-Best-View (NBV) refinement executes closed-loop robot movements to acquire optimal, axially-aligned views of each screw, resolving PI.Experimental validation, verified by physical touch-point, demonstrated that the integrated SmartScan + NBV system achieved a 98.4% success rate, significantly outperforming the 90.3% of an optimized static baseline. The SmartScan component completely eliminated OR, while the NBV strategy drastically reduced PI. Therefore this work provides a robust, adaptive perception solution for a critical task in the e-waste disassembly process.",Active vision; Electronic waste; Machine vision; Peg-in-hole; Robotic disassembly,0,Robotics and Computer Integrated Manufacturing,Spain;Spain,sco_dec_rob
Scopus,2-s2.0-105035508661,10.1016/j.ergon.2026.103943,Article,Development of a sensor-based ergonomic risk assessment framework using machine learning: Application to human-robot collaborative disassembly,"Mirzahosseininejad, Marziyeh;Sekkay, Firdaous;Ghorbani, Elham;Amirnia, Ashkan;Keivanpour, Samira",2026,"© 2026 Elsevier B.V. All rights are reserved, including those for text and data mining, AI training, and similar technologies.Despite advances in automation, work-related musculoskeletal disorders (WMSDs) remain common in industrial environments, especially in human-robot collaboration (HRC) systems where physical subtasks continue to pose ergonomic risks. This study introduces WMSDsNet, a real-time framework that uses wearable inertial measurement unit (IMU) sensors to classify ergonomic risk levels and recognize physical subtasks during collaborative disassembly operations. The system captures motion patterns from key body segments and labels them using two widely accepted ergonomic tools: Rapid Upper Limb Assessment (RULA) and Rapid Entire Body Assessment (REBA).Unlike previous approaches that focus on either posture or task recognition alone, WMSDsNet handles both within a consistent and reproducible setup. A labeled dataset was collected and used to train six machine learning models: Convolutional Neural Network (CNN), Deep Neural Network (DNN), Support Vector Machine (SVM), K-Nearest Neighbors (KNN), Decision Tree (DT), and Random Forest (RF). Among these, the DNN performed best, reaching 92% accuracy in subtask classification and 90% in ergonomic risk prediction, with strong F1-scores across all categories.The framework not only compares the models across accuracy and class balance but also considers their speed and ability to generalize. Results show that deep learning and ensemble methods (DNN, CNN, RF) are especially effective for this dual-task classification. WMSDsNet offers a practical, repeatable approach for evaluating ergonomic risk with machine learning and helps bring intelligent, worker-centered safety solutions into modern industrial environments.",,0,International Journal of Industrial Ergonomics,Canada,sco_dec_rob
Scopus,2-s2.0-105035391685,10.1016/j.robot.2026.105468,Article,Comparative analysis of force control strategies to reduce impact and rebound in industrial robotic arms for stable contact in manufacturing disassembly,"Granados, Unai;Ugartemendia, Axier;Gil, Jorge Juan;Sanchez, Emilio",2026,"© 2026 The AuthorsThe pressing issue of electronic waste (e-waste) presents a significant environmental and economic challenge. Automating e-waste disassembly is crucial for resource recovery, but achieving stable robotic contact is difficult due to highly variable material stiffnesses. To address this, this paper proposes a robust control framework with three primary contributions. First, an accurate dynamic model is derived via frequency-domain system identification, enabling analytical gain optimization within theoretical stability limits. Second, we present a rigorous comparative analysis of Admittance-based Direct Force Control (ADFC) and Hybrid Force/Velocity Control (HFVC), demonstrating a quantified 59% reduction in impact forces. Third, we introduce a binary Gain Scheduling strategy driven by Adaptive Stiffness Estimation, which identifies effective stiffness in real-time (<10 ms) to adjust gains according to soft or hard material properties. Validated through simulations and real-world experiments on a STÄUBLI TX2-140 industrial robot, this approach effectively bridges the sim-to-real gap, eliminating the model mismatch typical of fixed-gain controllers without requiring continuous re-tuning, ensuring reliable contact across diverse industrial materials.",Control algorithms; Disassembly; Impact forces; Material stiffness; Robot machining,0,Robotics and Autonomous Systems,Spain;Spain,sco_dec_rob
Scopus,2-s2.0-105039197254,10.1525/sod.2026.2835938,Article,From Reform to Weaponization: Anti-corruption and Autocratization in El Salvador,"Gehrke, Manoel;Da Ros, Luciano",2026,"© 2026 by The Regents of the University of CaliforniaThis article examines how an anti-corruption surge contributed to El Salvador’s democratic decline. While it was not the sole driver of that process, we argue that a wave of high-profile prosecutions in the 2010s played a critical role in delegitimizing established political elites, creating the conditions for Bukele’s rise to power and his subsequent assault on democratic institutions. Once in office, and especially after securing sweeping electoral victories, Bukele and his allies dismantled core institutional checks, including the judiciary and public prosecution, and suspended civil liberties under a prolonged state of emergency. Anti-corruption mechanisms were not only neutralized, but also repurposed to target political opponents. By tracing political dynamics and institutional transformations over the past decade, we demonstrate that El Salvador’s anti-corruption surge served as a catalyst for political change and unleashed forces that eroded democratic institutions and the autonomy of oversight bodies. These findings speak to ongoing debates on the consequences of anti-corruption surges and the vulnerability of democratic institutions to political capture.",anti-corruption; autocratization; courts; El Salvador; political capture; prosecution,0,Sociology of Development,Italy;Brazil,sco_dec_rob
Scopus,2-s2.0-105038362656,10.1016/j.jmsy.2026.04.033,Article,BiHAND: A Bimanual Human-like Robotic System with Adaptive Magnetic–Vibration End-Effectors for Non-Destructive Disassembly and Recycling of Retired EV Battery Packs,"Wu, Hongmin;Wang, Junyang;Zhang, Jiangming;Yan, Wu;Kong, Shaohua;Xiang, Rucheng;He, Zhongjun;Jiang, Yu;Liu, Yixiang;Dong, Guangzhong;Guo, Haihua;Fu, Zhijian;Lin, Xubin;Zhou, Xuefeng;Liao, Zhaoyang;Lou, Yunjiang",2026,"© 2026 The Society of Manufacturing EngineersDisassembling complex and heterogeneous components in retired electric vehicle (EV) battery packs remains highly labor-intensive and difficult to automate, posing a critical bottleneck for scalable and sustainable battery recycling. This paper presents BiHAND, a vision-guided Bimanual Human-like Robotic System with Adaptive Magnetic–Vibration End-Effectors for Non-Destructive Disassembly and Recycling of Retired EV Battery Packs. The proposed system serves as a representative platform for whole-pack disassembly, where “human-like” is reflected in three aspects: a shoulder-mounted dual-arm configuration enabling close-range cooperative manipulation, role-differentiated task allocation for simultaneous fastener removal and component handling, and impact-aware compliant control for safe interaction. The left arm performs automated bolt removal and recycling through an intelligent electric screwdriver with adaptive magnetic force regulation and a two-DOF parallelogram collection mechanism, enabling reliable bolt capture and sustained long-horizon operation. The right arm performs non-destructive disassembly of BMS, busbars, and structural components using a vibration–magnetism hybrid gripper composed of a radial exciter, parallel gripper, and electromagnet fingertips with compliant rubber surfaces. The exciter releases jammed or adhesive connections, while magnetic and compliant contact ensures stable and safe grasping. An integrated global–local multimodal vision pileline and impact-aware force feedback control support sequence optimization, semantic-level recognition, millimeter-scale positioning, and adaptive bimanual coordination. Extensive real-robot experiments on retired battery packs, including whole-pack disassembly and ablation studies, demonstrate that BiHAND achieves efficient, precise, and robust disassembly with minimal human intervention. The vision system achieves 97.2% recognition accuracy and 0.03mm positioning precision in the z-direction. Whole-pack disassembly experiments on a retired battery pack containing 94 components achieve 100% success rates for bolts, BMS units, and structural parts, and 84% for copper busbars. The average disassembly time is 32min35s per pack (∼20.6s per component). These results demonstrate the practicality and scalability of BiHAND for automated and sustainable recycling of retired EV battery packs.",Adaptive Magnetic–Vibration; Bimanual Human-like Robotic System; Retired EV battery; Vision-guided disassembly,0,Journal of Manufacturing Systems,China;Hong Kong;China;China;China;China;China,sco_dec_rob
Scopus,2-s2.0-105037530245,10.1111/ejed.70625,Article,An Exploration of Self-Determination Ability Among Language Major University Students Based on the Conceptual Framework of Decision Thinking,"Chiang, Juiching",2026,"© 2026 John Wiley & Sons Ltd.A total of 828 participants were surveyed using standardized instruments to measure basic psychological needs and motivation levels, with reliability and validity confirmed through factor analysis. Statistical analyses included descriptive statistics, Pearson's correlation, and multiple linear regression to examine predictive relationships and the influence of relevant variables. The results demonstrate that perceived competence and relatedness significantly predict both overall motivation and intrinsic motivation, whereas perceived autonomy does not show a significant direct effect. They are consistent with established self-determination theory, which suggests that need satisfaction does not uniformly predict motivation, particularly in contexts influenced by cultural factors. Additionally, the application of systems thinking was shown to facilitate decision-making and enhance intrinsic motivation. The findings highlight the importance of fostering relatedness and competence to enhance self-determined motivation, and relatedness had the highest effect on prediction and boosting intrinsic motivation, but the feeling of autonomy was found not to predict either total or intrinsic motivation, which is possibly due to cultural reasons. The conclusion is that combining the core values of learning with a high sense of relatedness results in a stronger drive and enhanced intrinsic motivation and from a decision thinking perspective, setting the purpose of learning is the first step toward success. This aligns with the systems thinking principle of dismantling a problem into elements and finding the relevance (interconnections) to solve complex problems (achieve the purpose).",decision thinking ability; learning motivation; relatedness; self-determination theory; systems thinking,0,European Journal of Education,China,sco_dec_rob
Scopus,2-s2.0-105035058508,10.1016/j.rineng.2026.110406,Review,"Construction robotics: a systematic review of robot types, applications and human robot collaborations","Xu, Yifan;Cheung, Clara;Shan Ng, Ming;Kaltungo, Akilu Yunusa;Ishizawa, Tsukasa;Fujimoto, Kota",2026,"© 2026 The Authors.Robotics in construction is increasingly recognised not only for enhancing productivity and efficiency, but also for its potential to reduce occupational safety and health risks by distancing workers from hazardous tasks. Despite these clear advantages, the industry still lags manufacturing in the widespread deployment of robotic systems. To understand how robots can be effectively deployed in real world construction settings, this review identifies three critical dimensions that shape integration: (i) robot types, (ii) task applications, and (iii) human robot collaboration (HRC) roles. Four research questions are formulated to guide the analysis, focusing on current technology use, suitability across task domains, collaboration patterns, and future deployment challenges. A total of 375 papers published between 2023 and 2025 were systematically analysised using the PRISMA method. Based on this corpus, we develop an integrated two-dimensional taxonomy that links robot classifications by function with construction task applications across lifecycle phases. The review reveals that most robots are concentrated in structural construction tasks, while planning, maintenance, and demolition phases remain underexplored. It also revealed that operator-led workflows dominate current practice, reflecting limited autonomy and readiness for full automation. These findings provide both researchers and practitioners with a structured foundation for modelling human robot workflows, designing OSH sensitive deployment strategies, and supporting more effective simulation environments. At a theoretical level, the study contributes to a deeper understanding of HRC in construction’s highly variable, unstructured settings, offering insights essential to achieving more scalable, integrated, and human-centric robotics in the built environment.",Construction robotics; Human robot collaboration; Industry 5.0; Occupational safety and health; Technology readiness,0,Results in Engineering,Japan;Japan;Japan;United Kingdom,sco_dec_rob
