source_db,id,doi,item_type,title,authors,year,abstract,keywords,citedby_count,journal_or_venue,affiliation_country,task
Scopus,2-s2.0-105034818095,10.1038/s41598-026-46568-w,Article,"Assessing regulatory institutions and building collapse in Lagos state, Nigeria","Salau, Wakeel Olorunwa;Anifowose, Rahman Kewulere",2026,"© The Author(s) 2026.This study assessed the perceived effectiveness of the selected built-environment agencies in managing urban development in Lagos state, Nigeria. Despite the existence of regulatory institutions such as the Building Control Agency (LASBCA), Lagos State Physical Planning Permit Authority (LASPPPA), and Materials Testing Laboratory (LSMTL), Lagos state persistently experiences recurrent building collapse, raising concerns about institutional capacity and regulatory performance. This study adopted mixed-method research design. Data were collected from 165 agency personnel for questionnaire administration and structured interviews with 10 professionals. Besides, geographic coordinates of all the agencies and their district offices were collected for spatial mapping. Data were analysed using frequency distribution, percentage, Relative Importance Index (RII), non-parametric Chi-square, while spatial data were analysed using Average Nearest Neighbour Analysis (ANN) and overlapping buffering analysis in ArcGIS. The findings indicated that the supervision and enforcement roles were widely recognised by the respondents but were perceived to be constrained by political interference (RII = 0.87), corruption (RII = 0.86), inadequate manpower and poor inter-agency coordination. Spatial analysis suggested a clustering distribution of the agencies with the peripheral areas relatively underserved. Respondents identified capacity building, adoption of digital monitoring tools, strict penalty enforcement, and greater institutional autonomy as the key reforms. Hence, the study highlighted governance-and-coordination-related challenges within the regulatory framework and emphasised the significance of institutional strengthening for safer and more sustainable urban development in line with Sustainable Development Goals 11 and 16.",Building collapse; Built environment; Institutional effectiveness; Lagos state; Nigeria; Regulatory enforcement; Spatial analysis; Sustainable development goals; Urban development management,0,Scientific Reports,Nigeria;Nigeria,sco_rob_be
Scopus,2-s2.0-105029843189,10.1007/s41939-026-01182-1,Review,"Cold sintering for in-space materials fabrication: a science, engineering, and future directions","Mamaghani, Kaveh Rahimi;Parvin, Nader",2026,"© The Author(s) 2026.The Cold Sintering Process (CSP) has recently emerged as a transformative approach for densifying ceramics and composites at temperatures below 300 °C using pressure-assisted dissolution–precipitation. This low-energy route is particularly compelling for in-situ resource utilization (ISRU) in extraterrestrial environments, where transporting construction materials from Earth is impractical. This review critically examines the potential of CSP for fabricating structural and functional materials in space, spanning lunar, Martian, orbital, deep-space, and asteroid contexts. We analyze the fundamental mechanisms of CSP, recent experimental demonstrations on lunar and Martian regolith simulants, and its integration with additive manufacturing, robotics, and artificial intelligence. Case studies highlight the production of high-strength regolith bricks (> 200 MPa) at low energy cost, showing CSP’s feasibility for building load-bearing structures on the Moon and Mars. We further explore frontier applications, including radiation shielding, multifunctional composites, and autonomous construction systems. Challenges such as solvent sourcing, high-pressure requirements, and environmental constraints are discussed in detail. Finally, we outline research directions toward scaling CSP for large habitats, integrating it with space architecture, and deploying it as part of closed-loop resource systems. CSP is positioned as a cornerstone technology for sustainable space infrastructure, enabling humankind to build resilient habitats and functional systems beyond Earth.",Additive manufacturing; Cold sintering process; In-situ resource utilization (ISRU); Lunar regolith; Martian regolith; Space manufacturing,2,Multiscale and Multidisciplinary Modeling Experiments and Design,Iran,sco_rob_be
Scopus,2-s2.0-105038534982,10.1016/j.ress.2026.112804,Article,A machine learning-enhanced real-time reliability assessment framework for maritime autonomous surface ships propulsion systems,"Meng, Xiangkun;Li, Hongqiang;Zhang, Wenjun;Yang, Xue",2026,"© 2026 Elsevier Ltd.Driven by industry-wide digitalization and the pursuit of autonomy, maritime autonomous surface ships (MASS) are transitioning from conceptual design to real-world operation, emerging as a vital future maritime transportation. Among the challenges confronting MASS, the reliability of propulsion systems stands out as a paramount concern due to its direct impact on safety and mission continuity. This study proposes a real-time reliability assessment framework for MASS propulsion systems based on a diagnosis-informed dynamic Bayesian Network (DBN). The framework integrates Variational Mode Decomposition (VMD), Transformer, and Bidirectional Gated Recurrent Unit (BiGRU) models to diagnose faults and update the DBN with real-time evidence, allowing dynamic and adaptive reliability assessment. This approach incorporates real-time fault diagnosis at the component level to refine system-level reliability predictions. The feasibility of the approach was validated using a case study on a diesel-electric hybrid propulsion system using failure rate data and operational data from simulated fault scenarios. The results indicated that the reliability of related subsystems declined significantly, and the hybrid propulsion system dropped to 0.986 on Day 30, after the navigation mission was completed. This framework introduces a causal inference mechanism that bridges the gap between component-level diagnostics and overall reliability assessment, providing a promising approach for intelligent health monitoring and proactive maintenance planning in MASS operations. The results can provide valuable support for decision-making in scheduling, degradation management, and maintenance planning for the MASS propulsion system with actual operation data.",Bidirectional gated recurrent unit; Dynamic Bayesian Network; Fault diagnosis; Maritime autonomous surface ships; Reliability assessment; Transformer; Variational Mode Decomposition,1,Reliability Engineering and System Safety,China;China,sco_rob_be
Scopus,2-s2.0-105036733543,10.1016/j.autcon.2026.106973,Article,Toward autonomous timber construction using distributed robotic perception system in coordination with a tower crane,"Opgenorth, Nils;Otto, Jack Michael;Menges, Achim",2026,"© 2026 The Author(s). Published by Elsevier B.V. This is an open access article under the CC BY license. http://creativecommons.org/licenses/by/4.0/Prefabricated timber construction offers major productivity benefits, yet on-site assembly, while largely machinic, remains human-controlled and ad-hoc. This paper presents an integrated multi-scalar construction framework for automated on-site assembly of point-supported cross-laminated timber floor slabs. Precise placement of large timber panels with cranes is currently hindered by occlusions, limited sensing, and unreliable pose verification during final alignment. The proposed system combines a digitally controlled tower crane with compact distributed robots embedded into timber elements. Each robot performs onboard vision-based detection of inherent building system features and transmits observations to a central coordinator, which fuses multi-view data to estimate the panel's pose. The fused estimate guides crane motion during placement, while passive alignment features enable force-guided final insertion. Large-scale outdoor experiments demonstrate reliable markerless multi-camera pose estimation and mechanical self-alignment. The results indicate that distributed robotic perception can enable robust crane-based assembly under realistic site conditions.",Architecture; Construction automation; Construction robotics; Distributed perception; Machine vision; Multi-scalar robotics; Robotic fabrication; Robotic timber construction,0,Automation in Construction,Germany,sco_rob_be
Scopus,2-s2.0-105039074837,10.1016/j.enbuild.2026.117560,Article,Integrating generative AI and BIM for sustainable construction and built Environment: An AHP–DEMATEL-based strategic framework,"Tam, Nguyen Van;Phong, Vu Van",2026,"© 2026 Elsevier B.V.The integration of Generative AI (GenAI) and Building Information Modelling (BIM) represents one of the most transformative yet underexplored frontiers in the construction and built environment (CBE) sector. While recent studies highlight the disruptive potential of GenAI, there remains no integrated, prioritized, or causally informed framework to guide GenAI–BIM adoption. This study addresses this gap by employing a combined Analytic Hierarchy Process–Decision-Making Trial and Evaluation Laboratory (AHP–DEMATEL)-based interview with senior industry experts in Vietnam to examine key GenAI-BIM integration strategies. The AHP and DEMATEL models uncovered three interesting and valuable findings: (1) a dependency trap in which most integrated GenAI-BIM strategies cannot progress without foundational ecosystem readiness; (2) governance and circularity as autonomous, system-driving prerequisites for sustainable transformation; and (3) a central but highly dependent role of integrated GenAI–BIM data infrastructure. Building on these insights, this study develops a three-tier strategic framework that connects ecosystem and governance foundations, capability-enabling mechanisms, and innovation-oriented applications. Theoretically, this work provides one of the first empirically validated, causally mapped strategic models for GenAI–BIM integration, advancing scholarly understanding beyond fragmented, application-specific research. Practically, it offers policymakers, firms, and project managers a clear, actionable roadmap to accelerate sustainable digital transformation and maximize the long-term value of GenAI–BIM ecosystems in the CBE sector.",AHP-DEMATEL; BIM; Built environment; Construction; GenAI; Strategic framework; Sustainability,0,Energy and Buildings,Viet Nam;Viet Nam,sco_rob_be
Scopus,2-s2.0-105035398023,10.1016/j.engappai.2026.114779,Article,Automated image-based quality classification of basalt stone surfaces in manufacturing,"Pham, Trung Tin;Tran, Thanh Son;Cap, Thang;Vo, Bay;Le, Tuong",2026,"© 2026 Elsevier Ltd.The quality classification of basalt stone surfaces is essential for ensuring consistency in construction and industrial manufacturing. However, manual inspection is time-consuming, subjective, and prone to human error, limiting efficiency in automated production environments. This study introduces an intelligent, neural network-based system for automated quality classification of basalt stone surfaces, enhancing industrial automation and robotics-driven manufacturing. Seven pre-trained neural network architectures were evaluated, including Residual Network (ResNet-50), Vision Transformer (ViT), Extreme Inception Network (Xception), Efficient Neural Network (EfficientNet-B4), Inception Version 3 (Inception-V3), Dense Convolutional Network (DenseNet-201), and Mobile Neural Network (MobileNet-V2), using the Basalt Stone Quality Control (BasaltQC) dataset comprising 7064 expertly labeled stone images categorized into “pass” and “fail” classes. The comprehensive experimental framework encompasses systematic hyperparameter optimization, regularization techniques, ablation studies, and statistical validation using McNemar's statistical test. Among the evaluated architectures, ResNet-50 achieved superior performance with 93.05% accuracy, 92.66% F1-score (harmonic mean of precision and recall), and 97.50% precision, demonstrating an optimal balance between minimizing costly false positives and avoiding excessive material rejection. Statistical analysis confirmed ResNet-50's superiority over competing models (p < 0.05), while ensemble methods showed marginal improvements but increased computational complexity. Error analysis revealed that shadows, occlusion, and blur are primary sources of misclassification, emphasizing the importance of standardized imaging protocols. The proposed ResNet-50-based system offers operational benefits, including reduced inspection time, consistent quality assessment, and improved supplier reliability, making it suitable for real-time deployment in industrial quality control. This approach offers a scalable and viable solution for automated manufacturing and construction material management.",Automated quality inspection; Basalt stone surfaces; Industrial automation; Manufacturing quality control; Neural networks,0,Engineering Applications of Artificial Intelligence,Viet Nam;Viet Nam,sco_rob_be
Scopus,2-s2.0-105037794492,10.1016/j.buildenv.2026.114675,Article,Physical vs. virtual environments: A comparative psychophysiological study on the restorative effects of window views,"Li, Jiaxin;Xie, Xudong;Li, Xiangxi;Liu, Chao;Fukuda, Hiroatsu;Gao, Weijun",2026,"© 2026 Elsevier LtdWindows serve as critical interfaces between indoor and outdoor environments, playing a pivotal role in psychological restoration and physiological regulation. However, quantitative evidence regarding specific window view conditions and the restorative differences between virtual reality (VR) and physical environments remains limited. This study investigated four window view conditions (windowless (WL), front window (FW), and two side windows (SW A/B)) using controlled experiments across physical and virtual environments. We integrated subjective assessments, Heart Rate Variability (HRV), Electroencephalography (EEG) spectral and microstate analyses, and machine learning to elucidate the mechanisms of stress recovery. Results revealed that prominent natural views (FW and SW A) significantly enhanced perceived restoration, attenuated anxiety, and promoted parasympathetic dominance (decreased nLF/nHF). Cortically, the WL condition imposed the highest cognitive load, characterized by suppressed α and elevated β power, whereas FW effectively reversed this stress response. Notably, spatial variance and temporal organization of large-scale brain networks were significantly modulated: FW increased the Global Explained Variance (GEV) of visual and attentional networks while suppressing the Default Mode Network (DMN). Crucially, VR perfectly replicated these ordinal restorative trends and dynamic network modulations without significant media interactions, despite a slight systemic attenuation in absolute neural relaxation (e.g., lower baseline α power). Finally, Random Forest modeling identified autonomic balance and EEG activity as dominant psychophysiological predictors of restoration. By synthesizing autonomic and central nervous system dynamics, this study provides robust multimodal evidence for the restorative efficacy of architectural window views and validates high-fidelity VR as a reliable proxy for built environment research.",EEG; HRV; Machine learning; Virtual reality; Window view,0,Building and Environment,China;Japan,sco_rob_be
Scopus,2-s2.0-105036363097,10.1016/j.autcon.2026.106952,Article,Comparative evaluation of robotically assembled discrete lattice systems for sustainable construction,"Smith, Miana;Richard, Paul;Rubio, Alfonso Parra;Gershenfeld, Neil",2026,"© 2026 Elsevier B.V. All rights are reserved, including those for text and data mining, AI training, and similar technologies.Additive manufacturing could improve the sustainability and efficiency of building construction, but current methods fall short. Continuous methods, such as 3-D printing, face challenges in error-correction, structural integrity, and accessible build volume, while assembly-based approaches typically require high mechanical precision, leading to costly and complex machines or off-site fabrication. This paper proposes robotically assembled discrete architected lattices, or voxels, as an in-situ construction method with low environmental impact and competitive speed and cost. Voxel-based structures can be scalably and incrementally assembled using distributed low-cost robots. The performance of multiple voxel types is compared against 3-D printed concrete, precast modular concrete, concrete masonry units, steel framing, and stick framing for a simplified 1-story building. The results indicate voxel-based systems can reduce embodied carbon by up to 76%–82% relative to 3-D printed concrete, with competitive cost and construction timelines, demonstrating the potential of distributed building-block assembly as a sustainable route to automated in-situ construction.",Additive manufacturing; Architected lattices; Construction automation; Distributed robotics; Modular building systems; Robotic assembly; Sustainability,0,Automation in Construction,United States;Switzerland,sco_rob_be
Scopus,2-s2.0-105034597711,10.1016/j.cscm.2026.e05981,Article,Smart building blocks based on confined individual carbon nanotube fibers within geopolymer matrix: A facile approach to monitor curing and mechanical stresses,"Karalis, George;Dong, Wenkui;Zhao, Jitong;Fan, Borong;Köberle, Thomas;Ly, Khoa Hoang;Weidinger, Inez;Tzounis, Lazaros;Mechtcherine, Viktor;Liebscher, Marco",2026,"© 2026 The Author(s). Published by Elsevier Ltd. This is an open access article under the CC BY license. http://creativecommons.org/licenses/by/4.0/The evolvement of smart cementitious materials with self-monitoring features, evaluating and early warning the structural integrity of infrastructures at an early stage is of great importance both for the service and sustainability aspects. This feasibility study investigates two grades of commercially available continuous single carbon nanotube fiber (CNTF) filaments embedded in a sustainable geopolymer (GP) matrix to assess their potential as piezoresistive elements for mechanical deformation sensing via straightforward two-probe DC electrical resistance measurements. Prior their incorporation, the CNTF filaments were systematically characterized. Afterwards, smart composites were prepared by a simple casting method around the CNTF and the GP reaction was monitored. Thereby, a prominent change of the pure electronic electrical properties was identified upon ageing, exhibiting similar electrical resistance evolution profiles, capturing the transition from fresh mixture to a rigid matrix within 24 h. Subsequently, the integrated CNTFs were utilized as mechanical stress sensors during static and cyclic three-point-bending, as well as compression loading conditions, respectively. The obtained results demonstrate the ability to reliably detect applied mechanical loads through the electrical signal, expressed as the fractional change in electrical resistance (FCR) combined with efficient electrical current transmission independently of environmental influencing factors. Importantly, cyclic compression tests confirmed highly reversible and repeatable electrical responses achieving circa 10% FCR. The outcome indicates that such CNTF/GP multifunctional building materials are capable to be used as durable, built-in and real-time structural health monitoring (SHM) indicators to enable an autonomous maintenance of civil infrastructures.",Carbon-nanotube fiber; Geopolymer; Hardening monitoring; Multifunctional composite; Piezoresistive sensing; Static-cyclic loads detecting,0,Case Studies in Construction Materials,Australia;Germany;Greece;Germany,sco_rob_be
Scopus,2-s2.0-105035407712,10.1016/j.jocm.2026.100607,Article,Heterogeneous impacts of system and vehicle security concern on autonomous vehicle adoption: A causal machine learning approach,"Sabzi, Behnam;Wang, Chuyue;Wang, Kailai;Li, Zhixia;Zhang, Yunpeng;Cheng, Long;Lim, Gino",2026,"© 2026 Elsevier Ltd.Autonomous vehicles (AVs) hold transformative promise for safety, efficiency, and accessibility, yet system and vehicle security remains a critical barrier to widespread adoption. This study examines how such concerns influence AVs acceptance using pooled household travel survey data from the Puget Sound Regional Council. A benchmark logit model and generalized random forests (GRF) within a causal machine learning framework are estimated to compare average effects with distributional patterns across subpopulations. While the logit model provides a behaviorally interpretable summary of the average impact of security concern on stated AV interest, GRF flexibly uncovers how this impact varies across diverse demographic and built environment contexts. Across both approaches, security concerns are found to substantially reduce interest in AV usage, with the magnitude of this effect remains broadly consistent. However, GRF reveals sharper heterogeneity, particularly among younger and highly educated individuals, full-time workers, frequent commuters, and residents of lower-density neighborhoods, that would require numerous ad hoc interaction terms to approximate within a standard logit specification. These findings illuminate how discrete choice models and causal machine learning serve complementary roles in characterizing the distributional impacts of emerging mobility technologies, and provide actionable guidance for policymakers and industry stakeholders seeking to build trust in AV security and promote broader adoption across diverse communities.",Autonomous vehicles (AV) adoption; Causal machine learning (CausalML); Generalized random forests (GRF); Heterogeneous treatment effects; System and vehicle security concern,0,Journal of Choice Modelling,China;United States;United States,sco_rob_be
