source_db,id,doi,item_type,title,authors,year,abstract,keywords,citedby_count,journal_or_venue,affiliation_country,task,rev_task,Ad_Rob_Imp,Res_Decon,Direct_App
Web of Science,WOS:001741110600001,10.1016/j.rineng.2026.110406,Review,"Construction robotics: a systematic review of robot types, applications and human robot collaborations","Xu, Yifan; Cheung, Clara; Ng, Ming Shan; Kaltungo, Akilu Yunusa; Ishizawa, Tsukasa; Fujimoto, Kota",2026,,"author_keywords=['Construction robotics', 'Human robot collaboration', 'Occupational safety and health', 'Industry 5.0', 'Technology readiness']",,RESULTS IN ENGINEERING,,wos_dec_rob_be,wos_dec_rob_be,0,0,0
Web of Science,WOS:001734074300001,10.1016/j.buildenv.2026.114361,Article,Ten questions concerning digital transformation for a circular built environment,"De Wolf, Catherine; Bendiek-Laranjo, Ana; Blum, Clara; Costalonga, Vanessa; Durand-Maniclas, Oceane; Karsan, Zain; Menny, Thibaut; Onalan, Beril; Schwarzkopf, Vanessa; Silvennoinen, Heidi; Vangelova, Silvia; Windapo, Bayonle",2026,,"author_keywords=['Circular construction', 'Digital material banks', 'Building information workflows', 'Computer vision', 'Robotics for deconstruction', 'AI-assisted design']",,BUILDING AND ENVIRONMENT,,wos_dec_rob_be,wos_dec_rob_be,0,0,0
Web of Science,WOS:001589052000002,10.1016/j.autcon.2025.106548,Article,Automated robotic deconstruction sequence planning from scan-to-BIM data for reinforced concrete structure reuse,"Ostapska, Katarzyna; Hingorani, Ramon; Teclaw, Wojciech; Kaufmann, Fabian; Gradeci, Klodian; Ruther, Petra",2025,,"author_keywords=['Scan-to-BIM', 'Concrete reuse', 'Robotic deconstruction', 'Circular construction']",,AUTOMATION IN CONSTRUCTION,,wos_dec_rob_be,wos_dec_rob_be,0,1,0
Web of Science,WOS:001511230300001,10.1016/j.scs.2025.106522,Article,Autonomous building material stock estimation using 3D modeling and multilayer perceptron,"Li, Qingxiang; Zhao, Benyun; Wang, Xinyi; Yang, Guidong; Chang, Yuyang; Chen, Xi; Chen, Ben M.",2025,,"author_keywords=['Urban mining', '3D reconstruction', 'Machine learning', 'UAV', 'Circular economy']",,SUSTAINABLE CITIES AND SOCIETY,,wos_dec_rob_be,wos_dec_rob_be,0,0,0
Web of Science,WOS:001482413900001,10.1016/j.resconrec.2025.108311,Article,A novel computer vision-based approach for autonomous building facade material stock estimation,"Rajaratnam, Dilakshan; Stewart, Rodney A.; Liu, Tingting; Vieira, Abel Silva",2025,,"author_keywords=['Fa & ccedil;ade', 'Building stock', 'Estimation', 'Computer vision', 'Deep learning', 'Circular economy']",,RESOURCES CONSERVATION AND RECYCLING,,wos_dec_rob_be,wos_dec_rob_be,0,1,0
Web of Science,WOS:001394679100001,10.1016/j.autcon.2024.105947,Article,Digital tool integrations for architectural reuse of salvaged building materials,"Zboinska, Malgorzata A.; Gobel, Frederik",2025,,"author_keywords=['Architectural reuse', 'Salvaged construction materials', 'Digital twins', 'Photogrammetry', 'Robot vision', 'Computer vision', 'Machine learning', 'Robotic fabrication', '3D printing', 'Data-driven toolpath design']",,AUTOMATION IN CONSTRUCTION,,wos_dec_rob_be,wos_dec_rob_be,1,1,0
Web of Science,WOS:001379960700001,10.1111/radm.12744,Article,"Digital Technologies Enabling Component Reuse in Circular Value Chains: Using Digital Twin, Internet of Things and Robots in Construction and Manufacturing Sectors","Thakuri, Prabhat Kiran; Alkki, Lauri; Aarikka-Stenroos, Leena",2025,,"author_keywords=['circular economy', 'component reuse', 'construction industry', 'digitalisation', 'digital twin', 'IoT', 'manufacturing industry', 'robots', 'value chain']",,R & D MANAGEMENT,,wos_dec_rob_be,wos_dec_rob_be,0,0,0
Web of Science,WOS:001255052200070,10.1201/9781003023555-70,Proceedings Paper,Enabling circularity in building construction: Experiments with robotically assembled interlocking structures,"Mangliar, L.; Hudert, M.",2022,,author_keywords=[],,STRUCTURES AND ARCHITECTURE: A VIABLE URBAN PERSPECTIVE?,,wos_dec_rob_be,wos_dec_rob_be,0,0,0
Web of Science,WOS:001691683800019,,Proceedings Paper,Repurposing Material Through Real-Time Point Cloud Reconstruction and Human-Robot Collaboration: Integrating real-time point cloud reconstruction and body detection,"Gong, Yuemin; Li, Yangzhi; Fingrut, Adam",2024,,"author_keywords=['3D Scanning', 'Point Cloud Reconstruction', 'Human', 'Robot Interaction', 'Robotic Construction', 'Kinect Azure DK.']",,"ECAADE 2024 DATA-DRIVEN INTELLIGENCE, VOL 1",,wos_dec_rob_be,wos_dec_rob_be,1,1,0
Web of Science,WOS:000956891300004,10.3167/fcl.2022.012401,Article,The anthropology of infrastructure The boom and the bubble?,"Buier, Natalia",2023,,"author_keywords=['anthropology of infrastructure', 'historical-geographical materialism', 'infrastructure', 'materialism', 'ontology', 'relationality']",,FOCAAL-JOURNAL OF GLOBAL AND HISTORICAL ANTHROPOLOGY,,wos_dec_rob_be,wos_dec_rob_be,0,0,0
