source_db,id,doi,item_type,title,authors,year,abstract,keywords,citedby_count,journal_or_venue,affiliation_country,task,rev_task,Ad_Rob_Imp,Res_Decon,Direct_App
Web of Science,WOS:001775373200001,10.1007/s10163-026-02606-3,Article,Advancing sustainable electromobility: development and practical assessment of an AI-Assisted Semi-Automated battery disassembly system,"Braunig, Gerald; Hertel, Dominik; Menetrey-Meinhold, Sara; Thurer, Matthias",2026,,"author_keywords=['Artificial intelligence', 'Electric vehicle battery system', 'Human-robot interaction', 'Disassembly', 'Recycling']",,JOURNAL OF MATERIAL CYCLES AND WASTE MANAGEMENT,,wos_dec_rob,wos_dec_rob,0,0,0
Web of Science,WOS:001773312100041,10.4103/jfmpc.jfmpc_2239_25,Article,Evolutionary trajectory and knowledge structure of wearable devices for health management: A bibliometric analysis (1997-2025),"Li, Kunpeng; Shi, Xin; Zhang, Lei; Jiang, Xinyue; Liang, Geyu; Ding, Qin",2026,,"author_keywords=['Bibliometrics', 'health management', 'research hotspots', 'visualization analysis', 'wearable devices']",,JOURNAL OF FAMILY MEDICINE AND PRIMARY CARE,,wos_dec_rob,wos_dec_rob,0,0,0
Web of Science,WOS:001774045800001,10.3390/a19050345,Review,Antivirus Systems: Detection Methods and Architectures,"Gagniuc, Paul A.",2026,,"author_keywords=['antivirus architecture', 'algorithmic detection', 'heuristic analysis', 'behavioral monitoring', 'machine learning', 'cloud-assisted security', 'adaptive cybersecurity', 'zero-trust model', 'federated intelligence', 'autonomous defense']",,ALGORITHMS,,wos_dec_rob,wos_dec_rob,0,0,0
Web of Science,WOS:001773026600001,10.1007/s10111-026-00882-5,Article,A comparison of motivational work characteristics and cognitive workload in manual vs. cobot-assisted manufacturing tasks,"Salcedo-Gil, Raquel; Bussolan, Andrea; Rispens, Sonja; Blanc, Pascale Le; Ulfert, Anna-Sophie; Baraldo, Stefano; Avram, Oliver; Valente, Anna",2026,,"author_keywords=['Human-Robot collaboration', 'Industry 5.0', 'Work design', 'Psychological stress', 'Cognitive workload', 'Physiological signals']",,COGNITION TECHNOLOGY & WORK,,wos_dec_rob,wos_dec_rob,0,0,0
Web of Science,WOS:001771093500001,10.1007/s10512-026-01286-4,Article,Development of technological solutions for decommissioning equipment and systems of separate rooms in units no. 1 and 2 of the Leningrad NPP. Part 1,"Biryukov, A. N.; Zhmakin, A. V.; Andreyeva, L. A.; Yermoshin, F. E.; Yakunin, E. M.; Bakulin, D. V.; Morozov, F. T.; Sidorov, N. M.",2026,,"author_keywords=['RBMK-1000', 'Decommissioning', 'Radioactive waste', 'Remotely controlled equipment', 'Robotic complexes', 'Reactor plant']",,ATOMIC ENERGY,,wos_dec_rob,wos_dec_rob,1,1,1
Web of Science,WOS:001771620400002,10.1525/sod.2026.2835938,Article,From Reform to Weaponization,"Gehrke, Manoel; Da Ros, Luciano",2026,,"author_keywords=['anti-corruption', 'autocratization', 'El Salvador', 'prosecution', 'courts', 'political capture']",,SOCIOLOGY OF DEVELOPMENT,,wos_dec_rob,wos_dec_rob,0,0,0
Web of Science,WOS:001770786200007,10.1109/OJCOMS.2026.3692946,Article,A Tutorial on Cognitive Biases in Agentic AI-Driven 6G Autonomous Networks,"Chergui, Hatim; Rezazadeh, Farhad; Debbah, Merouane; Verikoukis, Christos",2026,,"author_keywords=['Memory', 'Modeling', 'Cognition', 'Cognitive systems', 'Radio access networks', 'Regional area networks', 'Large language models', 'Planning', 'Tools', 'Proposals', '6G', 'agentic AI', 'bias', 'network automation']",,IEEE OPEN JOURNAL OF THE COMMUNICATIONS SOCIETY,,wos_dec_rob,wos_dec_rob,0,0,0
Web of Science,WOS:001769717600001,10.1080/01419870.2026.2665709,Article,Policies of eviction: making visible the EU border in Sicily's rural areas,"Neil, Margaret; Gianguzza, Giulia",2026,,"author_keywords=['Border internalisation', 'humanitarian-securitarian nexus', 'rural areas', 'EU border', 'seasonal migrant workers', 'housing']",,ETHNIC AND RACIAL STUDIES,,wos_dec_rob,wos_dec_rob,0,0,0
Web of Science,WOS:001769051900001,10.1016/j.jmsy.2026.04.028,Article,Coordination of LLM-Embodied Agents for manufacturing task allocation under constraints,"Ye, Wei; Li, Xingyu",2026,,"author_keywords=['Large language models (LLMs)', 'Multi-agent coordination', 'Manufacturing constraint', 'Task allocation', 'Embodied AI']",,JOURNAL OF MANUFACTURING SYSTEMS,,wos_dec_rob,wos_dec_rob,1,0,1
Web of Science,WOS:001765345400001,10.1108/IJPDLM-06-2025-0302,Review,Smart packaging's role in enhancing logistics capabilities for a circular economy: a systematic literature review,"Wangwacharakul, Promporn; Karpavice, Justina; Fialkowska-Filipek, Malgorzata; Chawla, Yash",2026,,"author_keywords=['Reverse logistics', 'Dynamic capabilities', 'Active packaging', 'Intelligent packaging', 'Data-driven logistics', 'Packaging functionalities', 'R-imperatives', 'R-strategies']",,INTERNATIONAL JOURNAL OF PHYSICAL DISTRIBUTION & LOGISTICS MANAGEMENT,,wos_dec_rob,wos_dec_rob,0,0,0
Web of Science,WOS:001764265200001,10.1108/QROM-07-2025-3100,Article,"Cold war tensions, eating without dignity and food Nazis-a metaphor analysis of organizational control around eating","Plunkett, Margot E.",2026,,"author_keywords=['Metaphor analysis', 'Concertive control', 'Bureaucratic control', 'Eating in the workplace']",,QUALITATIVE RESEARCH IN ORGANIZATIONS AND MANAGEMENT,,wos_dec_rob,wos_dec_rob,0,0,0
Web of Science,WOS:001760863700001,10.1111/bju.70304,Article,Comparative 30-day life cycle assessment of bladder drainage strategies,"Peyrottes, Arthur; Long-Depaquit, Thibaut; Fourmarier, Marc; Pradere, Benjamin; Peyronnet, Benoit; Zieleskiewicz, Laurent; Uleri, Alessandro; Cornu, Jean-Nicolas; Misrai, Vincent; Mallet, Richard; Baboudjian, Michael",2026,,"author_keywords=['Foley catheter', 'clean intermittent self-catheterisation', 'urethral stent', 'sustainability', 'carbon footprint']",,BJU INTERNATIONAL,,wos_dec_rob,wos_dec_rob,0,0,0
Web of Science,WOS:001758262800001,10.1016/j.jmsy.2026.04.033,Article,BiHAND: A Bimanual Human-like Robotic System with Adaptive Magnetic-Vibration End-Effectors for Non-Destructive Disassembly and Recycling of Retired EV Battery Packs,"Wu, Hongmin; Wang, Junyang; Zhang, Jiangming; Yan, Wu; Kong, Shaohua; Xiang, Rucheng; He, Zhongjun; Jiang, Yu; Liu, Yixiang; Dong, Guangzhong; Guo, Haihua; Fu, Zhijian; Lin, Xubin; Zhou, Xuefeng; Liao, Zhaoyang; Lou, Yunjiang",2026,,"author_keywords=['Bimanual Human-like Robotic System', 'Adaptive Magnetic-Vibration', 'Vision-guided disassembly', 'Retired EV battery']",,JOURNAL OF MANUFACTURING SYSTEMS,,wos_dec_rob,wos_dec_rob,1,0,1
Web of Science,WOS:001755200200003,10.1177/2046147X251389627,Article,Dismantling burnout: Insights from a public relations practitioner's autoethnography,"Bilowol, Jade Valentina; Wise, Deborah Jane; Robinson, Jenny A.",2026,,"author_keywords=['public relations', 'burnout dimensions', 'job demands-resources (JD-R) model', 'workplace environment', 'autoethnography']",,PUBLIC RELATIONS INQUIRY,,wos_dec_rob,wos_dec_rob,0,0,0
Web of Science,WOS:001754531500001,10.3138/jh-2025-0024,Article,"Qavam, the Soviets, and Oil Diplomacy: The Fall of Azerbaijani Autonomy (1946)","Mammadov, Gulamhuseyn",2026,,"author_keywords=['Soviet-Iranian relations', 'Cold War', 'oil diplomacy', 'Azerbaijani autonomy', ""Stalin's foreign policy""]",,JOURNAL OF HISTORY,,wos_dec_rob,wos_dec_rob,0,0,0
Web of Science,WOS:001751445700001,10.1111/ejed.70625,Article,An Exploration of Self-Determination Ability Among Language Major University Students Based on the Conceptual Framework of Decision Thinking,"Chiang, Juiching",2026,,"author_keywords=['decision thinking ability', 'learning motivation', 'relatedness', 'self-determination theory', 'systems thinking']",,EUROPEAN JOURNAL OF EDUCATION,,wos_dec_rob,wos_dec_rob,0,0,0
Web of Science,WOS:001750543300001,10.3390/drones10040278,Review,A Comprehensive Review of UAV Formation Control from a Mission-Driven Perspective,"Yu, Chong; Liu, Jiaqi; Xie, Peng; Xie, Wenjun",2026,,"author_keywords=['unmanned aerial vehicle (UAV)', 'formation control', 'formation assembly', 'formation maintenance', 'formation reconfiguration', 'formation performance evaluation']",,DRONES,,wos_dec_rob,wos_dec_rob,0,0,0
Web of Science,WOS:001749371700001,10.3390/computation14040076,Article,Computational Economics of Circular Construction: Machine Learning and Digital Twins for Optimizing Demolition Waste Recovery and Business Value,"Torres-Polo, Marta; Guzman Ortiz, Eduardo",2026,,"author_keywords=['computational economics', 'machine learning', 'digital twins', 'circular economy', 'construction waste optimization']",,COMPUTATION,,wos_dec_rob,wos_dec_rob,0,0,0
Web of Science,WOS:001745072300001,10.1016/j.ergon.2026.103943,Article,Development of a sensor-based ergonomic risk assessment framework using machine learning: Application to human-robot collaborative disassembly,"Mirzahosseininejad, Marziyeh; Sekkay, Firdaous; Ghorbani, Elham; Amirnia, Ashkan; Keivanpour, Samira",2026,,author_keywords=[],,INTERNATIONAL JOURNAL OF INDUSTRIAL ERGONOMICS,,wos_dec_rob,wos_dec_rob,0,0,0
Web of Science,WOS:001743397600001,10.17645/si.9829,Article,Intersectionality at German Universities: Empowering Teaching Staff as Change Agents With Higher Education Didactic Workshops,"Mergner, Julia; Peksen, Sude; Leisyte, Liudvika",2026,,"author_keywords=['change agents', 'German higher education', 'intersectionality', 'teaching students', 'university didactics']",,SOCIAL INCLUSION,,wos_dec_rob,wos_dec_rob,0,0,0
Web of Science,WOS:001741853600006,10.1017/jme.2026.10226,Article,Centering Lived and Living Experience: The Key to Effective and Equitable Medicaid Section 1115 Reentry Waivers,"Steiner, Anna; Kaeser, Emma; Fleurant, Susan M.; Clayton, Dorel; Shavit, Shira",2026,,"author_keywords=['incarceration', 'reentry', 'Medicaid section 1115 waivers', 'Lived experience', 'Community health workers']",,JOURNAL OF LAW MEDICINE & ETHICS,,wos_dec_rob,wos_dec_rob,0,0,0
Web of Science,WOS:001587372900001,10.1109/TMECH.2025.3605585,Article,Energy-Efficient Rendezvous for Docking of Inter-Reconfigurable Modular Robots in Unknown Environments,"Perera, Randika Anjalo; Himaruwan, H. D. Sasheeka; Samarakoon, S. M. Bhagya P.; Muthugala, M. A. Viraj J.; Elara, Mohan Rajesh",2026,,"author_keywords=['Robots', 'Robot kinematics', 'Assembly', 'Energy efficiency', 'Multi-robot systems', 'Connectors', 'Switches', 'Fault tolerant systems', 'Fault tolerance', 'Servomotors', 'Autonomous docking', 'frontier exploration', 'reconfigurable modular robots (RMRs)', 'rendezvous algorithm']",,IEEE-ASME TRANSACTIONS ON MECHATRONICS,,wos_dec_rob,wos_dec_rob,1,1,0
Web of Science,WOS:001742072900001,10.1080/13467581.2026.2659401,Article,An expert-informed weighted measurement model of the architectural environment for women's sense of safety in Chinese domestic violence shelters,"Wang, Suhua; Li, Lintong; Mohd Isa, Norliza; Zakaria, Adila; Mansor, Razlin",2026,,"author_keywords=['Domestic violence shelters', ""women's sense of safety"", 'architectural environment', 'measurement model', 'China']",,JOURNAL OF ASIAN ARCHITECTURE AND BUILDING ENGINEERING,,wos_dec_rob,wos_dec_rob,0,0,0
Web of Science,WOS:001741188300001,10.1016/j.comcom.2026.108519,Article,Physics Joins AI: A Real-Time Hybrid Misbehavior Detection Framework for Vehicular Networks,"Ghiro, Lorenzo; Pezzoni, Cristina; Franceschini, Marco; Lo Cigno, Renato",2026,,"author_keywords=['Misbehavior Detection Systems', 'Cooperative Driving', 'Vehicular Networks', 'Smart Mobility', 'Trust and Reliability']",,COMPUTER COMMUNICATIONS,,wos_dec_rob,wos_dec_rob,0,0,0
Web of Science,WOS:001730960100028,10.1007/978-981-95-1103-7_28,Proceedings Paper,Energy Consumption Optimization Method for Robotic Disassembly Process Using Bees Algorithm,"Han, Yuning; Liu, Jiayi; Wang, Yuanda; Xu, Wenjun; Zhou, Zude",2026,,"author_keywords=['Robotic disassembly process', 'Energy consumption modelling', 'Bees algorithm', 'Remanufacturing']",,"INTELLIGENT NETWORKED THINGS, CINT 2025, PT I",,wos_dec_rob,wos_dec_rob,0,0,0
Web of Science,WOS:001730960100025,10.1007/978-981-95-1103-7_25,Proceedings Paper,Research on Autonomous Robotic Recognition and Disassembly of Bolts,"Shen, Yufei; Zhang, Yongquan; Xia, Yuan; Wang, Dongyu; Huang, He; Feng, Jinchao; Yu, Lang",2026,,"author_keywords=['synthetic datasets', 'visual recognition', 'bolt disassembly']",,"INTELLIGENT NETWORKED THINGS, CINT 2025, PT I",,wos_dec_rob,wos_dec_rob,1,1,1
Web of Science,WOS:001730960100026,10.1007/978-981-95-1103-7_26,Proceedings Paper,Robotic Automated Disassembly Using Reinforcement Learning: A Case Study on Peg-Hole Disassembly,"Wu, Zidong; Lu, Hong; Zhang, Zhe; Zhang, Yongquan; Huang, He; Yu, Lang; Feng, Jinchao",2026,,"author_keywords=['Robotic disassembly', 'Peg-hole disassembly', 'Automatic disassembly', 'Reinforcement learning']",,"INTELLIGENT NETWORKED THINGS, CINT 2025, PT I",,wos_dec_rob,wos_dec_rob,1,0,1
Web of Science,WOS:001737419600001,10.1016/j.robot.2026.105468,Article,Comparative analysis of force control strategies to reduce impact and rebound in industrial robotic arms for stable contact in manufacturing disassembly,"Granados, Unai; Ugartemendia, Axier; Gil, Jorge Juan; Sanchez, Emilio",2026,,"author_keywords=['Impact forces', 'Robot machining', 'Control algorithms', 'Material stiffness', 'Disassembly']",,ROBOTICS AND AUTONOMOUS SYSTEMS,,wos_dec_rob,wos_dec_rob,1,1,1
Web of Science,WOS:001736162700010,10.5281/zenodo.19358498,Article,Exploring gender constraints in entrepreneurial opportunities for women in Pakistan,"Mughal, Mariyam Talaat; Shah, Ume Laila; Iftikhar, Hamza",2026,,"author_keywords=['sociocultural barriers', 'institutional barriers', 'gender inequality']",,INTERACCION Y PERSPECTIVA,,wos_dec_rob,wos_dec_rob,0,0,0
Web of Science,WOS:001736712600001,10.3389/frobt.2026.1727433,Article,Intent-driven LLM ensemble planning for flexible multi-robot manipulation,"Erdogan, Cansu; Contreras, Cesar Alan; Rastegarpanah, Alireza; Chiou, Manolis; Stolkin, Rustam",2026,,"author_keywords=['human-robot interaction', 'intent recognition', 'large language models', 'multi-robot disassembly', 'task planning']",,FRONTIERS IN ROBOTICS AND AI,,wos_dec_rob,wos_dec_rob,1,1,1
Web of Science,WOS:001719875100114,10.1109/ICECS66544.2025.1127071,Proceedings Paper,Assistive Cobot for E-Waste Disassembly: MultiSensor HRC with Tool Recommendation,"Ameur, Soufiane; Karboub, Kaouter; Tabaa, Mohamed; Hamlich, Mohamed; Bearee, Richard",2025,,"author_keywords=['Robotic disassembly', 'Human Robot Collaboration', 'E-waste Management', 'Tool Recommendation']",,"2025 32ND IEEE INTERNATIONAL CONFERENCE ON ELECTRONICS, CIRCUITS AND SYSTEMS, ICECS",,wos_dec_rob,wos_dec_rob,1,1,1
Web of Science,WOS:001717857100029,10.1109/ICCMA67641.2025.11369636,Proceedings Paper,Dynamic Robotic Disassembly using Reinforcement Learning and Simulation: Initial Application to EV Batteries,"Okter, Martin; Tyapin, Ilya; Choux, Martin",2025,,"author_keywords=['Robotic disassembly', 'Reinforcement learning', 'Simulation training', 'Electric vehicle battery recycling', 'Adaptive control']",,"2025 13TH INTERNATIONAL CONFERENCE ON CONTROL, MECHATRONICS AND AUTOMATION, ICCMA",,wos_dec_rob,wos_dec_rob,1,0,1
Web of Science,WOS:001729694700001,10.1039/d5dd00451a,Review,Hacking 3D printers as laboratory robots,"Baas, Sander; Carson, Nessa; Saggiomo, Vittorio",2026,,author_keywords=[],,DIGITAL DISCOVERY,,wos_dec_rob,wos_dec_rob,1,0,0
Web of Science,WOS:001728601000001,10.1016/j.jmsy.2026.03.008,Article,Industrial-grade trustworthy embodied system for power battery disassembly based on the disassembly NeuroSymbolic World Model,"Peng, Yanlong; Wang, Zhigang; Zhang, Yuping; Chang, Pengxu; He, Ziwen; Chen, Ming",2026,,"author_keywords=['NeuroSymbolic embodied intelligence', 'Industrial-grade battery disassembly', 'Trusted robotic systems']",,JOURNAL OF MANUFACTURING SYSTEMS,,wos_dec_rob,wos_dec_rob,1,0,1
Web of Science,WOS:001728891000001,10.1007/s00170-026-17984-z,Article,Comparative analysis of YOLO and faster R-CNN models for EV battery screw detection,"Naseri, Alireza; Khwajazada, Syad; Yang, Sheng",2026,,"author_keywords=['Screw detection', 'EV battery recycling', 'YOLO', 'Computer vision', 'Smart manufacturing']",,INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,,wos_dec_rob,wos_dec_rob,0,0,0
Web of Science,WOS:001726319500001,10.3390/robotics15030060,Review,Robotic Disassembly of Electrical Cable Connectors: A Critical Review,"Dall'Olio, Matteo; Ida', Edoardo; Carricato, Marco",2026,,"author_keywords=['electrical connectors', 'cable connectors', 'Waste Electrical and Electronic Equipment (WEEE)', 'batteries', 'circular economy', 'robotic disassembly', 'automated recycling', 'non-destructive disassembly']",,ROBOTICS,,wos_dec_rob,wos_dec_rob,0,0,0
Web of Science,WOS:001723032000005,10.1109/TASE.2026.3675474,Article,Closed-Loop Self-Assembly and Navigation of Magnetic Modular Millibots in Confined Environments,"Bhattacharjee, Anuruddha; Wang, Zhengguang; Schmidt, Arne; Becker, Aaron T.; Kim, Min Jun",2026,,"author_keywords=['Self-assembly', 'Coils', 'Navigation', 'Magnets', 'Magnetic fields', 'Magnetic confinement', 'Assembly', 'Robot kinematics', 'Planning', 'Harmonic analysis', 'Modular robotics', 'magnetic actuation', 'self-assembly', 'closed-loop control', 'wall climbing robots', 'mesoscale manipulation']",,IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,,wos_dec_rob,wos_dec_rob,1,0,0
Web of Science,WOS:001726442600001,10.1007/s12008-026-02518-4,Article,Using AI to generate robot disassembly planning in autonomous remanufacturing process based on slicing and CAD technologies,"Shah, Meshal Iqbal; Ng, Kok Weng; Kor, Ah-Lian; Ang, Mei Choo",2026,,"author_keywords=['Disassembly', 'EOL', 'Robotic disassembly process (RDP)', 'Computer aided drawing (CAD)', 'Disassembly path planning (DPP)', 'Bee swarm optimization algorithm (BSO)', 'Genetic algorithm (GA)']",,INTERNATIONAL JOURNAL OF INTERACTIVE DESIGN AND MANUFACTURING - IJIDEM,,wos_dec_rob,wos_dec_rob,1,0,1
Web of Science,WOS:001721405000005,10.47571/sanatyorum.1599900,Article,"""My will has chosen life!"": Revisiting The Piano (1993) through Third-Wave Feminism","Krupa, Henrieta",2026,,"author_keywords=['Third-wave feminism', 'Jane Campion', 'The Piano', 'female agency', 'feminist theory']",,ART AND INTERPRETATION,,wos_dec_rob,wos_dec_rob,0,0,0
Web of Science,WOS:001701272600178,10.1109/CASE58245.2025.11163841,Proceedings Paper,A comparative study between a traditional coarse sense-plan-act system and a two-stage RoI recommender and Eyes-in-hand stereo system for robotized unscrewing of hard disk drives (HDDs),"Coopman, Anthonie; Piessens, Mathijs; Van den Bosch, Joren; Vandersteegen, Maarten; Peeters, Jef R.",2025,,author_keywords=[],,"2025 IEEE 21ST INTERNATIONAL CONFERENCE ON AUTOMATION SCIENCE AND ENGINEERING, CASE",,wos_dec_rob,wos_dec_rob,1,0,1
Web of Science,WOS:001721950700002,10.35699/2358-9787.2026.60589,Article,"Form, Intuition and Graphic Thought In The Poetics of Wlademir Dias-Pino","Camara, Rogerio",2026,,"author_keywords=['visual poem', 'concrete poetry', 'geometry', 'design', 'literature']",,EIXO E A RODA-REVISTA DE LITERATURA BRASILEIRA,,wos_dec_rob,wos_dec_rob,0,0,0
